date ,Condicion ,CAMPO,PRODUCCION_MMBTU
ene-20,BASICA ,NARE_SUR,98.23629703
feb-20,BASICA ,NARE_SUR,98.23629703
mar-20,BASICA ,NARE_SUR,98.23629703
abr-20,BASICA ,NARE_SUR,98.23629703
may-20,BASICA ,NARE_SUR,98.23629703
jun-20,BASICA ,NARE_SUR,98.23629703
jul-20,BASICA ,NARE_SUR,98.23629703
ago-20,BASICA ,NARE_SUR,98.23629703
sep-20,BASICA ,NARE_SUR,98.23629703
oct-20,BASICA ,NARE_SUR,98.23629703
nov-20,BASICA ,NARE_SUR,98.23629703
dic-20,BASICA ,NARE_SUR,98.23629703
ene-21,BASICA ,NARE_SUR,98.19700252
feb-21,BASICA ,NARE_SUR,98.15772371
mar-21,BASICA ,NARE_SUR,98.11846063
abr-21,BASICA ,NARE_SUR,98.07921324
may-21,BASICA ,NARE_SUR,98.03998156
jun-21,BASICA ,NARE_SUR,98.00076556
jul-21,BASICA ,NARE_SUR,97.96156526
ago-21,BASICA ,NARE_SUR,97.92238063
sep-21,BASICA ,NARE_SUR,97.88321168
oct-21,BASICA ,NARE_SUR,97.84405839
nov-21,BASICA ,NARE_SUR,97.80492077
dic-21,BASICA ,NARE_SUR,97.7657988
ene-22,BASICA ,NARE_SUR,97.72669248
feb-22,BASICA ,NARE_SUR,97.68760181
mar-22,BASICA ,NARE_SUR,97.64852676
abr-22,BASICA ,NARE_SUR,97.60946735
may-22,BASICA ,NARE_SUR,97.57042357
jun-22,BASICA ,NARE_SUR,97.5313954
jul-22,BASICA ,NARE_SUR,97.49238284
ago-22,BASICA ,NARE_SUR,97.45338589
sep-22,BASICA ,NARE_SUR,97.41440453
oct-22,BASICA ,NARE_SUR,97.37543877
nov-22,BASICA ,NARE_SUR,97.33648859
dic-22,BASICA ,NARE_SUR,97.297554
ene-23,BASICA ,NARE_SUR,97.25863498
feb-23,BASICA ,NARE_SUR,97.21973152
mar-23,BASICA ,NARE_SUR,97.18084363
abr-23,BASICA ,NARE_SUR,97.14197129
may-23,BASICA ,NARE_SUR,97.10311451
jun-23,BASICA ,NARE_SUR,97.06427326
jul-23,BASICA ,NARE_SUR,97.02544755
ago-23,BASICA ,NARE_SUR,96.98663737
sep-23,BASICA ,NARE_SUR,96.94784272
oct-23,BASICA ,NARE_SUR,96.90906358
nov-23,BASICA ,NARE_SUR,96.87029995
dic-23,BASICA ,NARE_SUR,96.83155183
ene-24,BASICA ,NARE_SUR,0
feb-24,BASICA ,NARE_SUR,0
mar-24,BASICA ,NARE_SUR,0
abr-24,BASICA ,NARE_SUR,0
may-24,BASICA ,NARE_SUR,0
jun-24,BASICA ,NARE_SUR,0
jul-24,BASICA ,NARE_SUR,0
ago-24,BASICA ,NARE_SUR,0
sep-24,BASICA ,NARE_SUR,0
oct-24,BASICA ,NARE_SUR,0
nov-24,BASICA ,NARE_SUR,0
dic-24,BASICA ,NARE_SUR,0
ene-25,BASICA ,NARE_SUR,0
feb-25,BASICA ,NARE_SUR,0
mar-25,BASICA ,NARE_SUR,0
abr-25,BASICA ,NARE_SUR,0
may-25,BASICA ,NARE_SUR,0
jun-25,BASICA ,NARE_SUR,0
jul-25,BASICA ,NARE_SUR,0
ago-25,BASICA ,NARE_SUR,0
sep-25,BASICA ,NARE_SUR,0
oct-25,BASICA ,NARE_SUR,0
nov-25,BASICA ,NARE_SUR,0
dic-25,BASICA ,NARE_SUR,0
ene-26,BASICA ,NARE_SUR,0
feb-26,BASICA ,NARE_SUR,0
mar-26,BASICA ,NARE_SUR,0
abr-26,BASICA ,NARE_SUR,0
may-26,BASICA ,NARE_SUR,0
jun-26,BASICA ,NARE_SUR,0
jul-26,BASICA ,NARE_SUR,0
ago-26,BASICA ,NARE_SUR,0
sep-26,BASICA ,NARE_SUR,0
oct-26,BASICA ,NARE_SUR,0
nov-26,BASICA ,NARE_SUR,0
dic-26,BASICA ,NARE_SUR,0
ene-27,BASICA ,NARE_SUR,0
feb-27,BASICA ,NARE_SUR,0
mar-27,BASICA ,NARE_SUR,0
abr-27,BASICA ,NARE_SUR,0
may-27,BASICA ,NARE_SUR,0
jun-27,BASICA ,NARE_SUR,0
jul-27,BASICA ,NARE_SUR,0
ago-27,BASICA ,NARE_SUR,0
sep-27,BASICA ,NARE_SUR,0
oct-27,BASICA ,NARE_SUR,0
nov-27,BASICA ,NARE_SUR,0
dic-27,BASICA ,NARE_SUR,0
ene-28,BASICA ,NARE_SUR,0
feb-28,BASICA ,NARE_SUR,0
mar-28,BASICA ,NARE_SUR,0
abr-28,BASICA ,NARE_SUR,0
may-28,BASICA ,NARE_SUR,0
jun-28,BASICA ,NARE_SUR,0
jul-28,BASICA ,NARE_SUR,0
ago-28,BASICA ,NARE_SUR,0
sep-28,BASICA ,NARE_SUR,0
oct-28,BASICA ,NARE_SUR,0
nov-28,BASICA ,NARE_SUR,0
dic-28,BASICA ,NARE_SUR,0
ene-29,BASICA ,NARE_SUR,0
feb-29,BASICA ,NARE_SUR,0
mar-29,BASICA ,NARE_SUR,0
abr-29,BASICA ,NARE_SUR,0
may-29,BASICA ,NARE_SUR,0
jun-29,BASICA ,NARE_SUR,0
jul-29,BASICA ,NARE_SUR,0
ago-29,BASICA ,NARE_SUR,0
sep-29,BASICA ,NARE_SUR,0
oct-29,BASICA ,NARE_SUR,0
nov-29,BASICA ,NARE_SUR,0
dic-29,BASICA ,NARE_SUR,0
ene-30,BASICA ,NARE_SUR,0
feb-30,BASICA ,NARE_SUR,0
mar-30,BASICA ,NARE_SUR,0
abr-30,BASICA ,NARE_SUR,0
may-30,BASICA ,NARE_SUR,0
jun-30,BASICA ,NARE_SUR,0
jul-30,BASICA ,NARE_SUR,0
ago-30,BASICA ,NARE_SUR,0
sep-30,BASICA ,NARE_SUR,0
oct-30,BASICA ,NARE_SUR,0
nov-30,BASICA ,NARE_SUR,0
dic-30,BASICA ,NARE_SUR,0
ene-31,BASICA ,NARE_SUR,0
feb-31,BASICA ,NARE_SUR,0
mar-31,BASICA ,NARE_SUR,0
abr-31,BASICA ,NARE_SUR,0
may-31,BASICA ,NARE_SUR,0
jun-31,BASICA ,NARE_SUR,0
jul-31,BASICA ,NARE_SUR,0
ago-31,BASICA ,NARE_SUR,0
sep-31,BASICA ,NARE_SUR,0
oct-31,BASICA ,NARE_SUR,0
nov-31,BASICA ,NARE_SUR,0
dic-31,BASICA ,NARE_SUR,0
ene-32,BASICA ,NARE_SUR,0
feb-32,BASICA ,NARE_SUR,0
mar-32,BASICA ,NARE_SUR,0
abr-32,BASICA ,NARE_SUR,0
may-32,BASICA ,NARE_SUR,0
jun-32,BASICA ,NARE_SUR,0
jul-32,BASICA ,NARE_SUR,0
ago-32,BASICA ,NARE_SUR,0
sep-32,BASICA ,NARE_SUR,0
oct-32,BASICA ,NARE_SUR,0
nov-32,BASICA ,NARE_SUR,0
dic-32,BASICA ,NARE_SUR,0
ene-33,BASICA ,NARE_SUR,0
feb-33,BASICA ,NARE_SUR,0
mar-33,BASICA ,NARE_SUR,0
abr-33,BASICA ,NARE_SUR,0
may-33,BASICA ,NARE_SUR,0
jun-33,BASICA ,NARE_SUR,0
jul-33,BASICA ,NARE_SUR,0
ago-33,BASICA ,NARE_SUR,0
sep-33,BASICA ,NARE_SUR,0
oct-33,BASICA ,NARE_SUR,0
nov-33,BASICA ,NARE_SUR,0
dic-33,BASICA ,NARE_SUR,0
ene-34,BASICA ,NARE_SUR,0
feb-34,BASICA ,NARE_SUR,0
mar-34,BASICA ,NARE_SUR,0
