n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.7,0.7,0.7,30.0,-249.07995017882135,4.204950471585056,347.5650726077289,37.77240128466122
1,1.0,1.0,0.0,1.0,0.2,3.0,1.0,0.8,0.7,0.9,0.8,20.0,-228.52629144803356,3.304230922637724,296.3300580861832,14.482973427220237
2,2.0,1.0,0.0,1.0,0.6,1.0,1.0,0.9,0.9,0.9,0.7,20.0,-296.54709610184966,1.7609146983568025,376.2450653469561,8.586852950654176
3,3.0,1.0,0.0,1.0,0.9,3.0,2.0,0.8,0.9,0.8,1.0,25.0,-201.29052567300866,3.304230922637724,279.68005808618324,31.445782727532645
4,4.0,1.0,0.0,1.0,0.2,3.0,1.0,0.7,0.9,0.9,0.7,55.0,-61.49117727535641,11.557899957417797,278.0200508254103,130.77476334114556
5,5.0,1.0,0.0,1.0,0.6,3.0,1.0,0.7,1.0,1.0,0.9,35.0,-186.75952835769422,6.6084749817854815,294.67005082541027,76.09561890335794
6,6.0,1.0,0.0,1.0,0.5,2.0,2.0,0.7,0.8,1.0,0.7,40.0,-178.35679078559355,9.194281154186596,337.5160508254102,112.46175361894214
7,7.0,1.0,0.0,1.0,0.6,2.0,2.0,0.8,0.9,1.0,0.8,45.0,-179.8187330409346,9.194281154186596,355.8260580861831,131.3917260064652
8,8.0,1.0,0.0,1.0,0.3,2.0,2.0,0.7,0.7,0.8,1.0,40.0,-123.22541943217425,9.744629023205515,295.6468508254103,133.63328584689114
9,9.0,1.0,0.0,1.0,0.2,1.0,1.0,0.7,1.0,0.8,0.9,40.0,-178.41328977031574,8.610257067672498,316.1300508254103,87.77175775158757
10,10.0,1.0,0.0,1.0,0.4,3.0,2.0,0.9,0.8,0.9,0.7,45.0,-94.18970393809909,11.58296780105606,314.6400653469561,160.62894690033252
11,11.0,1.0,0.0,1.0,0.7,3.0,1.0,0.8,0.7,1.0,0.7,30.0,-228.8995450776524,3.304230922637724,312.9800580861832,23.4488857801121
12,12.0,1.0,0.0,1.0,0.6,3.0,2.0,0.9,0.8,0.7,0.7,40.0,-111.24757714288523,9.744629023205515,281.34006534695607,136.72056364558406
13,13.0,1.0,0.0,1.0,0.8,3.0,2.0,0.8,1.0,0.8,0.8,60.0,-28.025045789004118,11.648419850608644,279.68005808618324,236.40731583140285
14,14.0,1.0,0.0,1.0,0.6,3.0,2.0,0.9,1.0,1.0,0.8,50.0,-133.52033852161125,9.744629023205515,331.29006534695606,146.76256426467623
15,15.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.9,1.0,0.9,35.0,-260.6596808066244,3.304230922637724,355.8260580861831,32.20119296134307
16,16.0,1.0,0.0,1.0,0.3,1.0,2.0,0.7,0.8,1.0,0.9,55.0,-119.62349788119793,11.53015096905002,363.12005082541026,173.05233958875905
17,17.0,1.0,0.0,1.0,0.5,3.0,2.0,0.9,0.8,1.0,1.0,35.0,-189.59516839957175,7.31875125910715,331.29006534695606,89.69299646241674
18,18.0,1.0,0.0,1.0,0.5,1.0,1.0,0.8,0.8,0.9,0.9,50.0,-183.57564646894667,8.610257067672498,357.9350580861831,114.72180827370022
19,19.0,1.0,0.0,1.0,0.2,1.0,2.0,0.9,1.0,1.0,0.9,25.0,-274.5325896804457,7.31875125910715,399.7400653469561,63.42963581951304
20,20.0,1.0,0.0,1.0,0.9,3.0,1.0,0.9,0.9,0.9,1.0,45.0,-173.67193918054036,6.6084749817854815,314.6400653469561,98.37799528184044
21,21.0,1.0,0.0,1.0,0.4,2.0,1.0,0.9,0.8,0.9,0.7,55.0,-99.12444480072759,11.60563302293498,353.20146534695607,161.6047999305719
22,22.0,1.0,0.0,1.0,0.5,1.0,2.0,1.0,0.7,0.9,0.8,55.0,-113.57889868798304,11.60563302293498,394.5550726077289,190.87793959697873
23,23.0,1.0,0.0,1.0,0.4,2.0,2.0,0.7,1.0,0.8,0.7,40.0,-109.4340582089623,11.53015096905002,295.6468508254103,158.65580731029925
24,24.0,1.0,0.0,1.0,0.5,1.0,1.0,0.7,0.7,0.9,1.0,45.0,-196.1551744423821,7.982795416418341,339.62505082541026,105.70757968568444
25,25.0,1.0,0.0,1.0,1.0,1.0,2.0,0.8,1.0,0.9,1.0,35.0,-236.23990287989378,5.063408075481224,357.9350580861831,67.13067658218634
26,26.0,1.0,0.0,1.0,0.3,2.0,2.0,1.0,1.0,0.8,0.9,25.0,-237.09131541058738,6.6084749817854815,350.57687260772894,58.317651974360146
