n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,0.0,2.0,1.0,0.2,2.0,2.0,0.7,0.9,0.7,60.0,-88.8322670984613,11.963835853492505,293.36632301467745,168.09889543835527
1,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.7,0.9,1.0,45.0,-169.08934125153237,8.841748728381628,305.91554716382495,220.55867927093158
2,2.0,1.0,0.0,2.0,1.0,0.3,3.0,1.0,0.8,1.0,0.9,25.0,-194.9872187816111,0.48617512011684705,303.3841924474425,7.461075010090503
3,3.0,1.0,0.0,2.0,1.0,0.5,1.0,2.0,0.8,0.9,0.7,45.0,-181.20612308510823,11.963835853492505,347.63748301467746,223.51429201906728
4,4.0,1.0,0.0,2.0,1.0,0.6,2.0,1.0,0.8,0.7,0.8,50.0,-173.25758742583378,11.963835853492505,335.27579773106,212.84046916422
5,5.0,1.0,0.0,2.0,1.0,0.2,1.0,2.0,0.8,1.0,0.9,60.0,-98.46841250172483,11.963835853492505,385.7121924474424,182.67170629589754
6,6.0,1.0,0.0,2.0,1.0,0.4,2.0,2.0,1.0,0.9,0.9,35.0,-235.3741401975673,8.302278601290103,400.05739244744245,131.4942197219709
7,7.0,1.0,0.0,2.0,1.0,0.7,3.0,1.0,0.8,0.8,0.9,60.0,-88.07158167461449,11.963835853492505,303.3841924474425,245.88507888199968
8,8.0,1.0,0.0,2.0,1.0,0.4,1.0,1.0,1.0,0.8,0.7,45.0,-220.4409147819469,11.963835853492505,401.2314830146775,190.46968230128763
9,9.0,1.0,0.0,2.0,1.0,0.6,1.0,1.0,0.7,0.7,0.7,25.0,-206.527228107721,0.48617512011684705,320.84048301467743,7.810663415253524
10,10.0,1.0,0.0,2.0,1.0,0.4,1.0,1.0,0.9,0.8,0.7,35.0,-208.4764279292529,11.963835853492505,374.43448301467754,190.46968230128763
11,11.0,1.0,0.0,2.0,1.0,0.4,1.0,1.0,0.9,0.7,1.0,20.0,-275.12621933845975,0.48617512011684705,431.54654716382487,6.483529616181641
12,12.0,1.0,0.0,2.0,1.0,0.4,3.0,2.0,0.7,1.0,0.7,55.0,-91.50110207834274,11.963835853492505,248.80348301467743,219.6153040163722
13,13.0,1.0,0.0,2.0,1.0,0.9,1.0,2.0,0.8,0.7,0.8,60.0,-111.10703250957542,11.963835853492505,366.67483773106,268.2558657449321
14,14.0,1.0,0.0,2.0,1.0,0.9,1.0,2.0,0.7,0.8,0.8,45.0,-155.8499774504465,11.963835853492505,339.87783773105997,282.8286766024744
15,15.0,1.0,0.0,2.0,1.0,0.5,3.0,2.0,0.8,0.9,0.8,55.0,-68.95270474189961,11.963835853492505,284.34683773106,223.51429201906728
16,16.0,1.0,0.0,2.0,1.0,0.6,1.0,2.0,0.7,0.7,0.9,35.0,-213.2957996645365,7.1365684888814735,358.91519244744245,115.42105166151117
17,17.0,1.0,0.0,2.0,1.0,0.5,1.0,2.0,0.7,0.7,0.9,60.0,-87.53171417655412,11.963835853492505,358.91519244744245,194.36867030398267
18,18.0,1.0,0.0,2.0,1.0,0.9,1.0,2.0,0.7,1.0,0.9,30.0,-228.64611681903733,0.48617512011684705,358.91519244744245,11.442476407306152
19,19.0,1.0,0.0,2.0,1.0,0.9,1.0,1.0,0.9,1.0,0.9,55.0,-194.8282315995645,11.963835853492505,412.50919244744244,311.974298317559
20,20.0,1.0,0.0,2.0,1.0,0.8,2.0,1.0,1.0,0.9,0.7,50.0,-212.2295540641528,7.1365684888814735,361.98268301467743,151.33648999269505
21,21.0,1.0,0.0,2.0,1.0,0.4,2.0,2.0,0.7,1.0,0.8,45.0,-157.824377441653,11.963835853492505,312.40367773106,219.6153040163722
22,22.0,1.0,0.0,2.0,1.0,0.3,3.0,2.0,0.8,1.0,0.8,50.0,-120.84202032165929,11.963835853492505,284.34683773106,201.1435051561349
23,23.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.9,0.8,0.7,45.0,-179.32382399106615,1.7069018034739536,281.81548301467745,36.91010174901247
24,24.0,1.0,0.0,2.0,1.0,0.9,1.0,2.0,0.8,0.7,0.9,55.0,-191.60512532739855,11.963835853492505,385.7121924474424,268.2558657449321
25,25.0,1.0,0.0,2.0,1.0,0.4,2.0,2.0,1.0,0.9,1.0,20.0,-266.8610716773731,0.48617512011684705,419.09474716382493,7.577604478478177
26,26.0,1.0,0.0,2.0,1.0,0.5,1.0,2.0,1.0,0.8,0.8,30.0,-262.7051648777863,3.335611123146679,420.26883773106,49.880951065660454
27,27.0,1.0,0.0,2.0,1.0,0.5,1.0,2.0,0.8,0.9,0.9,35.0,-232.3155357692902,6.505456290033537,385.7121924474424,108.32491561707855
28,28.0,1.0,0.0,2.0,1.0,0.8,2.0,1.0,0.7,0.7,1.0,20.0,-226.27898586590337,0.48617512011684705,350.47838716382495,9.137797214325408
29,29.0,1.0,0.0,2.0,1.0,0.3,1.0,1.0,1.0,0.9,0.9,35.0,-270.1124857537879,5.122807641358256,439.3061924474424,69.2429957951718
