n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
0,0,263570.4375,0.96,0.99,0.6,45,1.0,808.4986304958,422769.6953856
1,1,-68325.8309,0.99,0.96,0.7,30,0.99,807.8711302208,422765.6891788
2,2,179700.6178,0.91,0.99,0.6,40,0.91,788.2988581517,422730.3871603
3,3,-312089.7443,0.91,0.98,0.8,20,0.97,784.0497369245,422757.3153914
4,4,163446.1657,0.98,0.94,0.2,40,0.95,795.3329332977,422746.4119876
5,5,270013.0333,0.97,0.96,0.3,45,0.95,799.7912212832,422746.7733613
6,6,579410.2481,0.98,0.99,0.4,60,0.92,816.5785394335,422734.0319933
7,7,-46793.2359,0.93,0.98,0.1,30,0.93,792.1296458622,422737.3154526
8,8,-175052.5336,0.96,0.94,1.0,25,0.97,787.25302436,422758.0381389
9,9,-187573.4895,0.99,0.96,0.6,25,0.97,807.8711302208,422756.5926438
10,10,267934.7885,0.98,0.97,0.6,45,0.93,808.0802969792,422739.1223215
11,11,280598.2462,0.97,0.91,0.6,45,0.91,778.5456151474,422730.3871603
12,12,587434.8161,0.95,0.95,0.8,60,0.98,787.4621911184,422761.682972
13,13,387822.4202,0.92,0.99,0.3,50,0.91,792.3388126205,422729.303039
14,14,275275.6138,0.95,0.99,0.6,45,0.91,804.458676027,422730.3871603
15,15,289313.5009,0.91,0.95,0.4,45,0.93,771.302373243,422738.3995739
16,16,490904.8279,0.93,0.94,0.2,55,0.97,775.1331609536,422755.1471487
17,17,474967.0317,0.95,1.0,0.3,55,1.0,808.7077972541,422768.6112643
18,18,485714.1796,0.94,0.99,0.8,55,0.92,800.4187215581,422735.4774884
19,19,594185.1538,0.94,0.92,0.5,60,0.98,770.6748729681,422760.5988507
20,20,-51901.5043,0.97,0.92,0.5,30,0.95,782.7947363746,422747.4961089
21,21,49502.6706,0.97,1.0,0.7,35,0.95,816.7877061918,422748.2188564
22,22,383677.5498,0.94,0.95,0.5,50,0.96,783.4222366495,422751.8636895
23,23,-175808.7825,0.97,0.91,0.9,25,0.99,778.5456151474,422766.4119263
24,24,583404.3125,0.98,0.92,0.9,60,0.98,786.8346908434,422762.0443457
25,25,-47569.93,0.96,0.94,0.3,30,0.91,787.25302436,422729.303039
26,26,-328944.213,1.0,0.92,0.5,20,0.95,794.9145997811,422747.4961089
27,27,369317.781,0.99,0.95,0.6,50,0.97,803.6220089937,422756.5926438
28,28,69608.94,0.93,0.95,0.1,35,0.93,779.3822821807,422737.3154526
29,29,375364.3033,0.96,0.95,0.4,50,0.99,791.5021455872,422764.6050575
30,30,-182485.159,0.96,0.98,0.5,25,0.98,804.2495092687,422760.5988507
31,31,-187702.8582,0.99,0.96,0.9,25,0.97,807.8711302208,422757.6767652
32,32,-325992.9735,0.98,0.96,0.6,20,0.93,803.831175752,422739.1223215
33,33,-66566.5782,1.0,0.98,0.5,30,0.92,820.409327144,422734.3933671
34,34,-317795.6189,0.98,0.93,0.4,20,0.91,791.0838120705,422729.6644127
35,35,56657.219,0.95,0.98,0.9,35,0.96,800.2095547998,422753.3091846
36,36,596611.235,0.92,0.98,0.8,60,0.92,788.0896913933,422735.4774884
37,37,275259.62,0.95,0.93,0.5,45,0.99,778.9639486641,422764.9664312
38,38,382705.1286,0.93,0.97,0.4,50,0.97,787.880524635,422755.8698963
39,39,177003.9586,0.94,0.92,0.7,40,0.95,770.6748729681,422748.2188564
40,40,-183594.1724,0.95,1.0,0.1,25,0.99,808.7077972541,422763.5209361
41,41,267353.2511,0.99,0.91,0.2,45,0.99,786.6255240851,422763.8823099
42,42,254561.9531,1.0,1.0,0.7,45,0.97,828.9075695983,422756.9540176
43,43,-310744.8957,0.95,0.93,0.3,20,0.93,778.9639486641,422738.0382001
44,44,51319.7516,0.98,0.96,0.5,35,0.96,803.831175752,422751.8636895
45,45,-183313.5328,0.97,0.98,0.8,25,0.96,808.2894637375,422752.9478108
46,46,163630.9475,0.95,0.99,0.6,40,0.96,804.458676027,422752.2250632
47,47,-44696.4123,0.92,0.94,0.9,30,0.99,771.0932064847,422766.4119263
48,48,374553.5635,0.99,0.91,0.9,50,0.97,786.6255240851,422757.6767652
49,49,-45154.2209,0.92,0.95,1.0,30,0.98,775.3423277119,422762.4057195
50,50,572357.8495,0.98,0.99,0.9,60,1.0,816.5785394335,422770.7795069
51,51,585736.6179,0.97,0.95,0.2,60,0.94,795.542100056,422742.044407
52,52,467621.4862,0.99,0.98,1.0,55,0.99,816.3693726751,422766.7733001
53,53,-182552.7852,0.99,0.92,1.0,25,0.98,790.8746453122,422762.4057195
54,54,584678.0706,0.97,0.97,0.6,60,0.92,804.0403425103,422734.7547409
55,55,181274.1289,0.93,0.94,0.1,40,0.91,775.1331609536,422728.5802914
56,56,595036.7979,0.92,0.98,0.3,60,0.94,788.0896913933,422742.4057807
57,57,54792.2734,0.97,0.97,0.3,35,0.94,804.0403425103,422742.4057807
58,58,60849.26,0.96,0.96,0.6,35,0.92,795.7512668143,422734.7547409
59,59,-40223.2398,0.93,0.92,0.4,30,0.95,766.6349184992,422747.1347351
60,60,583967.4802,0.96,0.95,0.6,60,0.99,791.5021455872,422765.327805
61,61,585771.675,0.94,0.97,0.6,60,1.0,791.9204791038,422769.6953856
62,62,385460.7109,0.92,0.97,0.1,50,0.97,783.8405701662,422754.785775
63,63,483136.0053,0.97,0.95,0.5,55,0.92,795.542100056,422734.3933671
64,64,489710.789,0.93,0.98,0.8,55,0.92,792.1296458622,422735.4774884
65,65,65213.9677,0.94,0.96,0.9,35,0.93,787.6713578767,422740.2064428
66,66,-48865.4762,0.94,0.93,0.4,30,0.99,774.9239941952,422764.6050575
67,67,485831.2156,0.96,0.95,0.4,55,0.92,791.5021455872,422734.0319933
68,68,-328791.8803,0.95,0.99,1.0,20,0.98,804.458676027,422762.4057195
69,69,-196218.4135,0.99,0.99,0.9,25,1.0,820.6184939023,422770.7795069
70,70,-59371.4071,0.97,0.97,0.3,30,0.95,804.0403425103,422746.7733613
71,71,172602.577,0.94,0.93,0.6,40,0.98,774.9239941952,422760.9602244
72,72,484785.5619,0.97,0.93,1.0,55,0.93,787.0438576017,422740.5678166
73,73,385095.1699,0.94,0.97,0.5,50,0.91,791.9204791038,422730.0257865
74,74,68196.9049,0.93,0.96,0.2,35,0.93,783.6314034079,422737.6768264
75,75,376656.7522,0.97,0.95,0.6,50,0.95,795.542100056,422747.8574827
76,76,46715.4387,1.0,0.96,0.9,35,0.95,811.9110846897,422748.941604
77,77,386721.1198,0.94,0.95,0.4,50,0.93,783.4222366495,422738.3995739
78,78,-28853.3589,0.91,0.91,0.6,30,0.91,754.3058883344,422730.3871603
79,79,-319126.5343,0.94,1.0,0.1,20,0.93,804.6678427853,422737.3154526
80,80,-180743.2409,0.97,0.95,0.3,25,0.98,795.542100056,422759.8761031
81,81,572537.1116,0.99,0.97,0.3,60,1.0,812.120251448,422768.6112643
82,82,-67606.8161,0.99,0.97,0.6,30,0.97,812.120251448,422756.5926438
83,83,-186678.5648,0.98,0.99,0.4,25,0.95,816.5785394335,422747.1347351
84,84,-52113.2358,0.95,0.94,0.1,30,0.98,783.2130698912,422759.1533556
85,85,378493.1892,0.95,1.0,0.1,50,0.92,808.7077972541,422732.947872
86,86,578848.9345,0.99,0.98,0.7,60,0.91,816.3693726751,422730.7485341
87,87,190586.1462,0.91,0.91,1.0,40,0.91,754.3058883344,422731.8326554
88,88,603800.2883,0.91,0.94,0.6,60,0.93,767.0532520159,422739.1223215
89,89,56725.8418,0.96,0.93,0.9,35,1.0,783.0039031329,422770.7795069
90,90,65473.0781,0.91,0.99,0.2,35,0.97,788.2988581517,422755.1471487
91,91,-65492.3717,0.96,1.0,0.7,30,0.99,812.747751723,422765.6891788
92,92,573929.0687,0.99,0.96,0.1,60,1.0,807.8711302208,422767.8885167
93,93,484126.1581,0.93,0.99,0.6,55,0.97,796.3787670893,422756.5926438
94,94,75494.78,0.92,0.94,0.9,35,0.91,771.0932064847,422731.4712816
95,95,-62490.3123,0.98,1.0,0.3,30,0.91,820.8276606606,422729.303039
96,96,52268.1167,0.96,0.97,0.8,35,0.99,800.0003880415,422766.0505526
97,97,475246.238,1.0,0.93,0.4,55,0.95,799.1637210082,422747.1347351
98,98,-330694.5266,0.99,0.96,0.2,20,0.94,807.8711302208,422742.044407
99,99,46793.5679,0.98,1.0,0.6,35,0.95,820.8276606606,422747.8574827
100,100,383882.4748,0.95,0.96,0.1,50,0.91,791.7113123455,422728.5802914
101,101,274980.21,0.98,0.91,0.4,45,0.94,782.5855696162,422742.7671545
102,102,-326689.617,0.96,0.96,0.1,20,0.98,795.7512668143,422759.1533556
103,103,361477.3462,1.0,0.99,0.1,50,0.97,824.6584483711,422754.785775
104,104,54880.2372,0.94,1.0,0.1,35,0.98,804.6678427853,422759.1533556
105,105,583845.5731,0.97,0.97,0.5,60,0.93,804.0403425103,422738.7609477
106,106,489918.3831,0.95,0.94,0.1,55,0.92,783.2130698912,422732.947872
107,107,-336237.6378,1.0,0.99,0.6,20,0.92,824.6584483711,422734.7547409
108,108,585145.1182,0.98,0.94,0.6,60,0.93,795.3329332977,422739.1223215
109,109,472931.2252,1.0,0.94,0.8,55,0.96,803.4128422354,422752.9478108
110,110,288954.337,0.92,0.94,0.5,45,0.92,771.0932064847,422734.3933671
111,111,-160528.8996,0.91,0.99,1.0,25,0.91,788.2988581517,422731.8326554
112,112,69484.3021,0.94,0.93,0.5,35,0.93,774.9239941952,422738.7609477
113,113,492085.4829,0.93,0.93,0.7,55,0.97,770.8840397264,422756.9540176
114,114,276175.3773,0.94,0.95,0.8,45,0.98,783.4222366495,422761.682972
115,115,375800.5519,0.96,1.0,0.4,50,0.91,812.747751723,422729.6644127
116,116,171738.7505,0.95,0.96,0.9,40,0.92,791.7113123455,422735.8388622
117,117,-308913.2004,0.93,0.93,1.0,20,0.96,770.8840397264,422753.6705583
118,118,-42179.2862,0.91,0.95,0.8,30,0.98,771.302373243,422761.682972
119,119,373318.0985,0.96,0.98,0.6,50,0.97,804.2495092687,422756.5926438
120,120,185143.382,0.91,0.95,0.8,40,0.91,771.302373243,422731.1099078
121,121,479643.3546,0.95,0.97,0.9,55,0.99,795.9604335727,422766.4119263
122,122,592040.2177,0.92,0.99,0.1,60,0.96,792.3388126205,422750.4181944
123,123,-314423.6194,0.95,0.95,1.0,20,0.93,787.4621911184,422740.5678166
124,124,-325156.2795,0.95,0.97,0.4,20,0.98,795.9604335727,422760.2374769
125,125,583042.5706,0.97,0.93,0.8,60,1.0,787.0438576017,422770.4181332
126,126,-163506.9172,0.91,0.96,0.1,25,0.98,775.5514944702,422759.1533556
127,127,67767.6285,0.92,0.93,0.7,35,1.0,766.8440852576,422770.0567594
128,128,-174251.769,0.96,0.92,0.9,25,0.99,778.7547819057,422766.4119263
129,129,-336851.538,0.97,0.98,1.0,20,1.0,808.2894637375,422771.1408807
130,130,69225.8439,0.91,1.0,0.1,35,0.92,792.5479793788,422732.947872
131,131,-309516.8826,0.95,0.94,0.6,20,0.91,783.2130698912,422730.3871603
132,132,77368.0403,0.92,0.92,0.5,35,0.92,762.5949640304,422734.3933671
133,133,55241.3834,0.97,0.93,0.2,35,0.99,787.0438576017,422763.8823099
134,134,578513.6705,1.0,0.95,0.5,60,0.93,807.6619634625,422738.7609477
135,135,-326201.6213,0.98,0.97,0.7,20,0.92,808.0802969792,422735.1161147
136,136,476643.7573,0.97,0.98,0.2,55,0.95,808.2894637375,422746.4119876
137,137,-172569.6791,0.95,0.96,0.6,25,0.95,791.7113123455,422747.8574827
138,138,-59901.936,1.0,0.92,1.0,30,0.94,794.9145997811,422744.9353972
139,139,-303849.2668,0.91,0.95,0.5,20,0.95,771.302373243,422747.4961089
140,140,164572.0868,0.97,0.95,0.9,40,0.95,795.542100056,422748.941604
141,141,584756.8983,0.95,0.99,0.6,60,0.95,804.458676027,422747.8574827
142,142,-167172.2816,0.92,0.97,0.5,25,0.97,783.8405701662,422756.2312701
143,143,378137.4134,0.98,0.92,0.1,50,0.95,786.8346908434,422746.0506138
144,144,586647.943,0.95,0.97,0.3,60,0.96,795.9604335727,422751.1409419
145,145,390625.3172,0.94,0.92,0.7,50,0.93,770.6748729681,422739.4836952
146,146,-332339.8355,0.99,0.97,0.1,20,0.94,812.120251448,422741.6830332
147,147,267502.9669,0.97,0.94,0.8,45,1.0,791.2929788289,422770.4181332
148,148,281626.17,0.92,0.95,0.4,45,0.98,775.3423277119,422760.2374769
149,149,474748.3135,0.99,0.92,1.0,55,1.0,790.8746453122,422771.1408807
150,150,-333704.1838,0.99,0.95,0.5,20,0.97,803.6220089937,422756.2312701
151,151,380059.4861,0.96,0.96,0.4,50,0.93,795.7512668143,422738.3995739
152,152,177640.2952,0.93,0.92,0.9,40,0.97,766.6349184992,422757.6767652
153,153,376075.5349,0.94,1.0,0.3,50,0.97,804.6678427853,422755.5085225
154,154,500412.1117,0.91,0.92,0.9,55,0.95,758.5550095616,422748.941604
155,155,494219.3796,0.93,0.92,0.9,55,0.96,766.6349184992,422753.3091846
156,156,-45233.1221,0.95,0.93,0.1,30,0.93,778.9639486641,422737.3154526
157,157,-334042.2004,0.99,0.96,0.9,20,0.96,807.8711302208,422753.3091846
158,158,62383.6524,0.94,0.93,0.4,35,1.0,774.9239941952,422768.9726381
159,159,482352.1494,0.95,0.97,0.5,55,0.96,795.9604335727,422751.8636895
160,160,593565.3222,0.94,0.93,1.0,60,0.97,774.9239941952,422758.0381389
161,161,580396.6928,0.96,0.99,0.5,60,0.97,808.4986304958,422756.2312701
162,162,276571.4508,0.98,0.92,0.7,45,0.91,786.8346908434,422730.7485341
163,163,373042.3965,0.97,1.0,0.5,50,0.92,816.7877061918,422734.3933671
164,164,46815.6819,0.98,0.97,0.7,35,0.99,808.0802969792,422765.6891788
165,165,588975.8493,0.96,0.92,0.1,60,0.98,778.7547819057,422759.1533556
166,166,483954.9184,0.96,0.95,0.9,55,0.94,791.5021455872,422744.5740234
167,167,-51086.0436,0.96,0.92,0.4,30,0.97,778.7547819057,422755.8698963
168,168,-319880.2338,0.92,0.98,0.5,20,1.0,788.0896913933,422769.3340118
169,169,-193134.6461,1.0,0.99,0.7,25,0.95,824.6584483711,422748.2188564
170,170,602937.6047,0.91,0.94,0.6,60,0.94,767.0532520159,422743.4899021
171,171,-303668.447,0.93,0.91,0.2,20,0.95,762.3857972721,422746.4119876
172,172,274233.5503,0.99,0.91,0.7,45,0.92,786.6255240851,422735.1161147
173,173,393148.0418,0.91,0.97,0.1,50,0.92,779.8006156973,422732.947872
174,174,395043.3165,0.91,0.94,0.4,50,0.94,767.0532520159,422742.7671545
175,175,-330413.5661,0.99,0.93,0.7,20,0.97,795.1237665394,422756.9540176
176,176,475884.7259,0.99,0.97,0.9,55,0.91,812.120251448,422731.4712816
177,177,-188106.2096,0.99,0.98,0.1,25,0.95,816.3693726751,422746.0506138
178,178,-62148.1748,0.97,0.96,0.1,30,0.99,799.7912212832,422763.5209361
179,179,267292.8791,0.99,0.91,0.4,45,0.99,786.6255240851,422764.6050575
180,180,600726.0435,0.92,0.91,0.9,60,0.98,758.3458428033,422762.0443457
181,181,165345.3406,0.96,0.95,0.7,40,0.97,791.5021455872,422756.9540176
182,182,586162.4399,0.96,0.98,0.1,60,0.92,804.2495092687,422732.947872
183,183,52363.4147,0.99,0.97,0.3,35,0.91,812.120251448,422729.303039
184,184,62848.6782,0.92,0.98,0.9,35,0.98,788.0896913933,422762.0443457
185,185,374523.7767,0.99,0.95,0.2,50,0.91,803.6220089937,422728.9416652
186,186,-64829.534,0.99,0.96,0.2,30,0.96,807.8711302208,422750.7795681
187,187,279732.7493,0.91,1.0,0.1,45,0.96,792.5479793788,422750.4181944
188,188,364647.5421,0.98,0.99,0.6,50,0.99,816.5785394335,422765.327805
189,189,495717.3333,0.93,0.93,0.1,55,0.93,770.8840397264,422737.3154526
190,190,571341.2187,1.0,0.99,0.9,60,0.95,824.6584483711,422748.941604
191,191,484484.192,0.96,0.94,0.7,55,0.95,787.25302436,422748.2188564
192,192,-46870.7233,0.93,0.95,0.7,30,0.97,779.3822821807,422756.9540176
193,193,66891.5226,0.92,0.98,1.0,35,0.94,788.0896913933,422744.9353972
194,194,278783.7376,0.91,0.99,1.0,45,0.98,788.2988581517,422762.4057195
195,195,-316548.5957,0.95,0.91,0.4,20,0.99,770.4657062098,422764.6050575
196,196,-318935.2837,0.95,0.97,0.1,20,0.94,795.9604335727,422741.6830332
197,197,589478.8456,0.95,0.98,0.8,60,0.91,800.2095547998,422731.1099078
198,198,575547.2763,1.0,0.96,0.2,60,0.95,811.9110846897,422746.4119876
199,199,391962.4644,0.91,0.97,0.7,50,0.93,779.8006156973,422739.4836952
200,200,-185317.0205,0.98,0.99,0.1,25,0.94,816.5785394335,422741.6830332
201,201,492855.7544,0.94,0.91,1.0,55,0.96,766.4257517409,422753.6705583
202,202,274013.3508,0.94,0.99,0.3,45,0.95,800.4187215581,422746.7733613
203,203,-61860.3975,1.0,0.95,0.1,30,0.92,807.6619634625,422732.947872
204,204,158396.3323,0.99,0.92,0.1,40,1.0,790.8746453122,422767.8885167
205,205,259948.6657,1.0,0.96,0.5,45,0.97,811.9110846897,422756.2312701
206,206,376966.3482,0.94,0.97,0.6,50,1.0,791.9204791038,422769.6953856
207,207,268610.272,0.99,0.96,0.6,45,0.91,807.8711302208,422730.3871603
208,208,588322.8145,0.98,0.93,0.2,60,0.91,791.0838120705,422728.9416652
209,209,-189027.486,0.98,0.98,1.0,25,0.98,812.3294182063,422762.4057195
210,210,169161.6756,0.92,0.98,0.6,40,1.0,788.0896913933,422769.6953856
211,211,368080.462,0.97,1.0,0.3,50,0.97,816.7877061918,422755.5085225
212,212,491602.9969,0.92,0.94,1.0,55,0.99,771.0932064847,422766.7733001
213,213,-314330.4071,0.95,0.96,0.4,20,0.92,791.7113123455,422734.0319933
214,214,374939.5253,0.96,0.99,0.8,50,0.94,808.4986304958,422744.2126496
215,215,173833.6307,0.95,0.93,0.9,40,0.94,778.9639486641,422744.5740234
216,216,474750.1675,0.98,0.94,1.0,55,1.0,795.3329332977,422771.1408807
217,217,-36767.1015,0.91,0.92,0.9,30,0.97,758.5550095616,422757.6767652
218,218,160410.3103,0.97,0.96,0.1,40,0.98,799.7912212832,422759.1533556
219,219,-304139.2964,0.94,0.92,0.2,20,0.92,770.6748729681,422733.3092458
220,220,383690.208,0.91,0.98,0.4,50,1.0,784.0497369245,422768.9726381
221,221,369031.6474,0.97,0.97,0.4,50,1.0,804.0403425103,422768.9726381
222,222,-298827.0944,0.91,0.92,0.6,20,0.95,758.5550095616,422747.8574827
223,223,392440.5183,0.91,0.96,0.2,50,0.94,775.5514944702,422742.044407
224,224,177627.8516,0.91,0.99,0.7,40,0.93,788.2988581517,422739.4836952
225,225,589972.3711,0.98,0.91,0.7,60,0.92,782.5855696162,422735.1161147
226,226,579042.9441,1.0,0.94,0.3,60,0.94,803.4128422354,422742.4057807
227,227,-53376.434,0.93,1.0,0.8,30,0.96,800.6278883165,422752.9478108
228,228,49190.8062,0.99,0.94,0.8,35,0.98,799.3728877665,422761.682972
229,229,-177276.606,0.97,0.95,0.8,25,0.95,795.542100056,422748.5802302
230,230,386487.1271,0.94,0.96,0.3,50,0.91,787.6713578767,422729.303039
