n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,1.0,0.8,1.0,50.0,-39.06659253233976,190.19516550018875,1315.7875475745145,3868.8805733551358
1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7,0.9,0.8,0.9,20.0,-1198.0285612597622,56.00568523776178,1162.3681475745145,1132.9746784585684
2,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8,1.0,0.9,0.9,35.0,-962.258876155936,76.65202721380695,1300.102291021329,1651.7497743926106
3,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7,1.0,0.7,1.0,25.0,-1069.3623864224724,56.00568523776178,1145.6240041277003,1153.7997197168813
4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8,1.0,40.0,-867.6900536583072,76.65202721380695,1076.4540922247281,2029.383819471238
5,5.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.1,0.7,0.8,0.9,35.0,91.1026057683609,190.19516550018875,744.509092224728,1122.6182237422863
6,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.4,0.7,0.9,0.9,20.0,-868.6161547193519,76.65202721380695,1223.939291021329,952.9671218665951
7,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,1.0,0.9,1.0,50.0,104.84471465685844,190.19516550018875,1116.584603752819,2533.3856909340016
8,8.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.5,0.7,0.7,1.0,45.0,177.92128241807754,190.19516550018875,964.1390041277003,2978.5506517410463
9,9.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.2,1.0,1.0,0.9,50.0,373.7251001055223,190.19516550018875,1006.2551152809101,1567.7831845493306
10,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,55.0,-114.02967937167261,190.19516550018875,1452.260434468143,4683.937910198643
11,11.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.9,0.7,0.8,1.0,45.0,-241.31845230158098,190.19516550018875,1041.3781475745143,4759.210494969224
12,12.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.4,1.0,0.7,0.9,30.0,-485.3001303436384,162.37515352012838,885.863580696637,2098.3815274033846
13,13.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,0.9,0.8,0.9,55.0,437.2010597221527,190.19516550018875,1246.0001075745145,1567.7831845493306
14,14.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.6,1.0,1.0,0.9,40.0,-378.3515254472167,190.19516550018875,1470.2658344681429,3348.44302777751
15,15.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.4,0.8,1.0,1.0,50.0,197.4499003742007,190.19516550018875,959.6046352809101,2533.3856909340016
16,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,30.0,-1302.9941035339407,56.00568523776178,1373.3231475745145,1538.2100958016053
17,17.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.1,0.8,0.7,0.9,20.0,-362.2061070931827,190.19516550018875,1024.6340041277006,1122.6182237422863
18,18.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,1.0,0.7,0.9,20.0,-1254.55048324927,56.00568523776178,1238.5484041277002,1132.9746784585684
19,19.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.9,30.0,-1080.0504499429933,56.00568523776178,1006.2551152809101,1538.2100958016053
20,20.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.2,0.8,0.8,1.0,50.0,621.9038427098022,190.19516550018875,925.372092224728,1643.0557693199135
21,21.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.7,0.8,0.9,60.0,217.6732133241087,190.19516550018875,1041.3781475745143,5129.102871005686
22,22.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.4,1.0,1.0,0.9,50.0,407.27851311723657,190.19516550018875,1006.2551152809101,2458.11310616342
23,23.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.9,0.8,1.0,0.9,55.0,8.072340640471182,190.19516550018875,1256.3514344681432,4683.937910198643
24,24.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.4,1.0,0.9,1.0,40.0,-32.1320950932184,190.19516550018875,1116.584603752819,2533.3856909340016
25,25.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,1.0,1.0,0.9,40.0,-877.7430528422578,138.40243399874697,1470.2658344681429,3034.15209863247
26,26.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1,1.0,1.0,1.0,40.0,70.46819903102397,190.19516550018875,1470.2658344681429,1197.8908085128685
27,27.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.5,0.7,0.9,1.0,55.0,541.5866633121293,190.19516550018875,889.961603752819,2978.5506517410463
28,28.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.9,0.8,0.9,25.0,-1125.7620749622959,56.00568523776178,1162.3681475745145,1538.2100958016053
29,29.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.9,1.0,0.9,1.0,25.0,-1071.9938392785386,56.00568523776178,1116.584603752819,1423.9566646122394
30,30.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1,0.9,0.8,1.0,35.0,23.347025052979504,190.19516550018875,1246.0001075745145,1197.8908085128685
31,31.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.8,0.9,1.0,50.0,-283.2519529260026,190.19516550018875,1253.4518110213291,5204.37545577627
32,32.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.1,0.7,1.0,1.0,50.0,773.6893941654478,190.19516550018875,824.77011528091,1197.8908085128685
33,33.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,0.7,0.8,0.9,55.0,519.0682463066079,190.19516550018875,1106.4252275745146,1567.7831845493306
