n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,0.0,1.0,0.7,2.0,2.0,0.8,0.8,1.0,1.0,50.0,-141.70713782309556,9.744629023205515,355.8260580861831,177.917658721517
1,1.0,1.0,0.0,1.0,0.7,3.0,1.0,0.8,0.8,0.9,0.9,20.0,-231.86744446173662,1.7609146983568025,296.3300580861832,10.438063687065187
2,2.0,1.0,0.0,1.0,0.8,3.0,1.0,0.9,0.9,1.0,0.9,35.0,-223.143798863534,5.063408075481224,331.29006534695606,56.447830850555334
3,3.0,1.0,0.0,1.0,0.7,3.0,1.0,0.7,0.7,1.0,1.0,25.0,-224.08446343382062,2.758594824312179,294.67005082541027,20.821936001113706
4,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,40.0,-256.54026688129045,5.063408075481224,381.43005808618324,67.13067658218634
5,5.0,1.0,0.0,1.0,0.1,3.0,1.0,0.8,0.8,0.7,0.9,35.0,-134.4223915732968,9.194281154186596,263.0300580861832,90.17753911283047
6,6.0,1.0,0.0,1.0,0.4,1.0,2.0,0.9,0.9,0.7,0.9,20.0,-243.04506272183198,4.204950471585056,329.25506534695603,29.768324228800637
7,7.0,1.0,0.0,1.0,0.4,1.0,1.0,0.9,0.9,1.0,1.0,50.0,-187.45649619377343,9.744629023205515,399.7400653469561,144.70437906554758
8,8.0,1.0,0.0,1.0,0.5,3.0,2.0,0.7,0.7,0.7,1.0,45.0,-68.97038297924648,9.744629023205515,244.72005082541028,155.77547228420408
9,9.0,1.0,0.0,1.0,0.2,3.0,1.0,1.0,1.0,1.0,0.9,50.0,-121.43736699016416,11.53015096905002,349.6000726077289,158.61661367733376
10,10.0,1.0,0.0,1.0,0.9,1.0,2.0,1.0,1.0,0.9,0.9,55.0,-150.7524120254189,9.744629023205515,394.5550726077289,190.01784453973784
11,11.0,1.0,0.0,1.0,0.9,3.0,2.0,0.8,0.8,0.7,1.0,45.0,-105.27215512461125,7.982795416418341,263.0300580861832,137.48715804290225
12,12.0,1.0,0.0,1.0,0.4,3.0,1.0,0.7,0.7,1.0,0.9,30.0,-200.12181668256383,5.859528792858796,294.67005082541027,52.028741532095324
13,13.0,1.0,0.0,1.0,0.2,2.0,1.0,0.8,0.8,0.9,0.9,55.0,-86.37470091106819,11.53015096905002,334.89145808618326,158.61661367733376
14,14.0,1.0,0.0,1.0,0.6,2.0,2.0,1.0,1.0,1.0,0.9,40.0,-213.57030734289418,8.610257067672498,392.44607260772887,123.70515844773777
15,15.0,1.0,0.0,1.0,0.4,2.0,1.0,1.0,1.0,0.8,1.0,50.0,-145.52184058015092,9.744629023205515,350.57687260772894,144.70437906554758
16,16.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.9,30.0,-286.4273417617067,3.304230922637724,381.43005808618324,32.20119296134307
17,17.0,1.0,0.0,1.0,0.1,3.0,2.0,0.7,0.7,0.8,0.9,20.0,-180.51220613315363,5.859528792858796,261.3700508254103,37.19358035096624
18,18.0,1.0,0.0,1.0,0.7,2.0,1.0,0.7,0.7,1.0,0.9,20.0,-267.20937280263183,1.7609146983568025,337.5160508254102,10.438063687065187
19,19.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.9,30.0,-257.51373301380056,3.304230922637724,349.6000726077289,32.20119296134307
20,20.0,1.0,0.0,1.0,0.2,1.0,2.0,0.8,0.8,0.8,1.0,50.0,-90.21509162010727,11.53015096905002,334.4400580861832,173.0327427722763
21,21.0,1.0,0.0,1.0,1.0,3.0,2.0,0.8,0.8,0.7,0.9,60.0,-34.814761946934894,9.744629023205515,263.0300580861832,201.08893775839434
22,22.0,1.0,0.0,1.0,0.4,3.0,2.0,1.0,1.0,1.0,0.9,50.0,-105.77274855290663,11.53015096905002,349.6000726077289,187.48806550018438
23,23.0,1.0,0.0,1.0,0.9,3.0,2.0,1.0,1.0,0.8,0.9,55.0,-88.59997264160383,9.744629023205515,316.30007260772896,190.01784453973784
24,24.0,1.0,0.0,1.0,0.4,1.0,2.0,0.9,0.9,1.0,1.0,40.0,-213.58227780127837,9.194281154186596,399.7400653469561,129.15556459407279
25,25.0,1.0,0.0,1.0,0.8,2.0,1.0,1.0,1.0,1.0,0.9,40.0,-250.63262010382232,6.6084749817854815,392.44607260772887,87.94759685602314
26,26.0,1.0,0.0,1.0,0.1,2.0,2.0,1.0,1.0,1.0,1.0,40.0,-183.21951317103864,11.365603480421356,392.44607260772887,152.6682450897211
27,27.0,1.0,0.0,1.0,0.5,1.0,2.0,0.9,0.9,0.7,1.0,55.0,-79.29415223005553,11.53015096905002,329.25506534695603,216.3399205065523
28,28.0,1.0,0.0,1.0,1.0,3.0,2.0,0.8,0.8,0.9,0.9,25.0,-215.58481596270786,3.304230922637724,296.3300580861832,32.20119296134307
29,29.0,1.0,0.0,1.0,0.9,1.0,2.0,0.9,0.9,1.0,1.0,25.0,-299.2097543569069,3.304230922637724,399.7400653469561,31.445782727532645
30,30.0,1.0,0.0,1.0,0.1,2.0,2.0,0.8,0.8,0.9,1.0,35.0,-169.4726504244376,9.744629023205515,334.89145808618326,111.49109940957814
31,31.0,1.0,0.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,1.0,50.0,-142.05981864237756,7.982795416418341,332.2668653469561,145.4320526322067
32,32.0,1.0,0.0,1.0,0.1,3.0,2.0,1.0,1.0,0.7,1.0,50.0,-56.0562656015735,11.53015096905002,299.650072607729,158.59701686085097
33,33.0,1.0,0.0,1.0,0.2,2.0,1.0,0.8,0.8,0.7,0.9,55.0,-56.153972955986745,11.53015096905002,293.0222580861832,158.61661367733376
34,34.0,1.0,0.0,1.0,0.7,3.0,2.0,0.7,0.7,0.9,1.0,40.0,-133.02470200209112,7.982795416418341,278.0200508254103,121.59736886429332
35,35.0,1.0,0.0,1.0,0.1,2.0,2.0,0.9,0.9,0.9,0.9,40.0,-145.3179796613962,11.499328970392527,353.20146534695607,142.8961944888502
36,36.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,0.7,1.0,45.0,-125.12582176975366,7.31875125910715,281.34006534695607,124.2811184557408
37,37.0,1.0,0.0,1.0,0.1,2.0,1.0,0.8,0.8,0.8,0.9,45.0,-117.00514571224592,11.499328970392527,313.9568580861832,142.8961944888502
38,38.0,1.0,0.0,1.0,0.2,1.0,2.0,1.0,1.0,0.9,0.9,40.0,-185.56912344599706,11.365603480421356,394.5550726077289,153.22541928641436
39,39.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.9,50.0,-162.7770220900259,7.982795416418341,332.95007260772894,138.83374195829052
40,40.0,1.0,0.0,1.0,0.4,2.0,2.0,1.0,1.0,0.7,1.0,55.0,-71.92948656165144,11.53015096905002,329.6422726077289,201.90419459512694
41,41.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,1.0,25.0,-214.76060109723076,3.304230922637724,292.63505082541025,33.498408257303005
42,42.0,1.0,0.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.9,20.0,-329.85466216011145,1.7609146983568025,418.05007260772885,10.438063687065187
43,43.0,1.0,0.0,1.0,0.2,3.0,2.0,1.0,1.0,0.7,1.0,60.0,-15.748714846263514,11.557899957417797,299.650072607729,174.4476111347005
44,44.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,60.0,-126.2453175107373,11.53015096905002,418.05007260772885,173.0327427722763
45,45.0,1.0,0.0,1.0,0.4,2.0,2.0,1.0,1.0,1.0,1.0,20.0,-295.9054441437617,3.304230922637724,392.44607260772887,21.18265507868084
46,46.0,1.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,0.7,1.0,30.0,-224.37714610696068,6.6084749817854815,347.5650726077289,74.67403937651005
47,47.0,1.0,0.0,1.0,0.7,1.0,2.0,1.0,1.0,0.8,0.9,20.0,-281.68412777366854,3.304230922637724,371.0600726077289,26.04331637203198
48,48.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,0.9,25.0,-213.83500876641293,3.304230922637724,292.63505082541025,32.20119296134307
49,49.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.9,60.0,-111.73213828729737,9.744629023205515,371.0600726077289,201.08893775839434
50,50.0,1.0,0.0,1.0,0.4,3.0,1.0,1.0,1.0,0.7,1.0,60.0,-52.522434829791074,11.53015096905002,299.650072607729,201.90419459512694
51,51.0,1.0,0.0,1.0,0.3,3.0,2.0,0.9,0.9,0.8,1.0,30.0,-175.79163507427143,7.31875125910715,297.9900653469561,75.85774766508712
52,52.0,1.0,0.0,1.0,0.3,3.0,1.0,0.8,0.8,0.9,0.9,55.0,-64.7855287533816,11.53015096905002,296.3300580861832,173.05233958875905
53,53.0,1.0,0.0,1.0,0.9,2.0,2.0,1.0,1.0,0.8,1.0,25.0,-257.2750987432844,3.304230922637724,350.57687260772894,31.445782727532645
54,54.0,1.0,0.0,1.0,0.9,1.0,2.0,1.0,1.0,1.0,1.0,20.0,-323.7865931316396,2.336191878650031,418.05007260772885,18.30073999715825
55,55.0,1.0,0.0,1.0,0.9,2.0,1.0,0.7,0.7,0.7,0.9,50.0,-113.82858455258409,7.982795416418341,274.71225082541025,130.88884736898603
56,56.0,1.0,0.0,1.0,0.8,2.0,1.0,0.8,0.8,0.7,1.0,30.0,-211.36953248785406,3.304230922637724,293.0222580861832,29.393157197762285
57,57.0,1.0,0.0,1.0,0.1,3.0,1.0,0.8,0.8,0.8,1.0,55.0,-46.585908829577924,11.53015096905002,279.68005808618324,158.59701686085097
58,58.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.7,0.7,0.9,40.0,-165.67036252657147,5.859528792858796,274.71225082541025,81.69906389435347
59,59.0,1.0,0.0,1.0,0.2,3.0,1.0,0.9,0.9,0.9,0.9,50.0,-95.8504304937087,11.53015096905002,314.6400653469561,158.61661367733376
60,60.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.9,25.0,-240.50773614042149,3.304230922637724,329.6422726077289,32.20119296134307
61,61.0,1.0,0.0,1.0,0.7,3.0,2.0,1.0,1.0,0.9,0.9,25.0,-236.95911627096152,4.204950471585056,332.95007260772894,38.739233907915164
62,62.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,1.0,0.9,60.0,-84.22432721051717,9.194281154186596,294.67005082541027,180.39377803456716
63,63.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,0.9,25.0,-198.88634360588972,2.336191878650031,261.3700508254103,18.773261936204296
64,64.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,1.0,35.0,-235.38902102651,4.204950471585056,334.89145808618326,49.68871151184244
65,65.0,1.0,0.0,1.0,0.9,3.0,2.0,0.8,0.8,0.9,0.9,30.0,-199.4149688373384,4.204950471585056,296.3300580861832,44.719840360658196
66,66.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0,1.0,0.9,0.9,45.0,-203.85421306322476,9.744629023205515,394.5550726077289,134.66237844645542
67,67.0,1.0,0.0,1.0,0.8,2.0,1.0,0.9,0.9,0.8,0.9,20.0,-260.89676041031265,1.7609146983568025,332.2668653469561,11.281109836351444
68,68.0,1.0,0.0,1.0,0.6,3.0,2.0,0.7,0.7,0.8,1.0,35.0,-138.6637688257366,7.31875125910715,261.3700508254103,96.61062086108154
69,69.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.9,55.0,-139.37204911515195,9.194281154186596,371.0600726077289,180.39377803456716
70,70.0,1.0,0.0,1.0,0.4,3.0,2.0,1.0,1.0,0.7,1.0,40.0,-129.55935772484594,9.194281154186596,299.650072607729,129.15556459407279
71,71.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.8,0.9,55.0,-124.08841196928324,8.610257067672498,313.9568580861832,159.63855914388802
72,72.0,1.0,0.0,1.0,0.5,2.0,2.0,0.9,0.9,1.0,0.9,60.0,-81.12461158494281,11.60563302293498,374.13606534695606,205.7153533519602
73,73.0,1.0,0.0,1.0,0.8,2.0,2.0,1.0,1.0,0.8,0.9,55.0,-109.2449371407524,9.744629023205515,350.57687260772894,178.94675132108134
74,74.0,1.0,0.0,1.0,0.3,1.0,1.0,0.8,0.8,1.0,1.0,45.0,-194.84627499783443,9.744629023205515,381.43005808618324,133.63328584689114
75,75.0,1.0,0.0,1.0,0.1,3.0,2.0,0.8,0.8,0.7,1.0,60.0,11.411997291413044,11.557899957417797,263.0300580861832,160.0118852232752
76,76.0,1.0,0.0,1.0,0.3,3.0,1.0,0.7,0.7,0.7,1.0,25.0,-175.7908673505127,4.204950471585056,244.72005082541028,28.756588927241854
77,77.0,1.0,0.0,1.0,0.2,3.0,1.0,0.7,0.7,0.9,0.9,45.0,-97.0529724177236,11.365603480421356,278.0200508254103,153.22541928641436
78,78.0,1.0,0.0,1.0,0.3,3.0,2.0,0.8,0.8,0.8,1.0,50.0,-56.86530257471742,11.53015096905002,279.68005808618324,187.46846868370162
79,79.0,1.0,0.0,1.0,0.7,3.0,1.0,0.8,0.8,1.0,1.0,20.0,-246.01164685853524,1.7609146983568025,312.9800580861832,10.942145980627563
80,80.0,1.0,0.0,1.0,0.8,2.0,2.0,0.7,0.7,0.9,0.9,30.0,-212.71274608938225,5.063408075481224,316.5814508254103,56.447830850555334
81,81.0,1.0,0.0,1.0,0.6,2.0,2.0,0.8,0.8,0.7,0.9,35.0,-160.20571690334666,7.31875125910715,293.0222580861832,91.10013341417228
82,82.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,0.9,0.9,55.0,-161.41801626912462,9.744629023205515,394.5550726077289,156.8045648837684
83,83.0,1.0,0.0,1.0,0.8,3.0,2.0,0.7,0.7,1.0,1.0,20.0,-224.84606628063014,2.336191878650031,294.67005082541027,17.0888473978099
84,84.0,1.0,0.0,1.0,0.7,1.0,2.0,0.7,0.7,1.0,0.9,25.0,-265.8047360043909,4.204950471585056,363.12005082541026,38.739233907915164
85,85.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,1.0,55.0,-103.8264721142356,9.194281154186596,316.1300508254103,189.29972387523057
86,86.0,1.0,0.0,1.0,0.4,1.0,2.0,0.9,0.9,1.0,0.9,25.0,-283.2810521254331,5.859528792858796,399.7400653469561,52.028741532095324
87,87.0,1.0,0.0,1.0,0.9,2.0,2.0,0.8,0.8,0.9,0.9,55.0,-105.45473514547798,9.744629023205515,334.89145808618326,190.01784453973784
88,88.0,1.0,0.0,1.0,0.5,1.0,1.0,0.9,0.9,0.7,0.9,30.0,-229.98010587595937,5.063408075481224,329.25506534695603,44.53849663031823
89,89.0,1.0,0.0,1.0,0.3,1.0,1.0,0.8,0.8,1.0,0.9,20.0,-298.6883966582388,2.758594824312179,381.43005808618324,13.357041050131322
90,90.0,1.0,0.0,1.0,0.9,3.0,1.0,0.9,0.9,1.0,1.0,60.0,-109.42160848344179,9.194281154186596,331.29006534695606,179.27569732837097
91,91.0,1.0,0.0,1.0,0.9,2.0,1.0,0.7,0.7,1.0,1.0,35.0,-236.8102691470909,4.204950471585056,337.5160508254102,46.698408285470926
92,92.0,1.0,0.0,1.0,0.1,2.0,1.0,0.9,0.9,0.9,1.0,45.0,-154.46459361095845,11.31887660373043,353.20146534695607,151.08319184745073
93,93.0,1.0,0.0,1.0,0.8,3.0,1.0,0.9,0.9,0.7,0.9,55.0,-84.4607824925299,9.194281154186596,281.34006534695607,160.34572494084787
94,94.0,1.0,0.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9,1.0,40.0,-259.89850103130766,5.859528792858796,394.5550726077289,80.3371797921908
95,95.0,1.0,0.0,1.0,0.8,2.0,1.0,0.7,0.7,0.7,1.0,25.0,-208.68689183848227,2.336191878650031,274.71225082541025,17.0888473978099
96,96.0,1.0,0.0,1.0,0.2,3.0,2.0,0.9,0.9,0.8,1.0,35.0,-144.40364769916206,9.194281154186596,297.9900653469561,109.10751150035352
97,97.0,1.0,0.0,1.0,0.2,2.0,2.0,0.7,0.7,0.8,1.0,55.0,-39.531925004449874,11.53015096905002,295.6468508254103,173.0327427722763
98,98.0,1.0,0.0,1.0,0.9,3.0,2.0,1.0,1.0,1.0,0.9,30.0,-240.83193860182894,4.204950471585056,349.6000726077289,44.719840360658196
99,99.0,1.0,0.0,1.0,0.2,2.0,1.0,0.9,0.9,0.8,1.0,30.0,-223.56786064908565,6.6084749817854815,332.2668653469561,56.89607244751225
100,100.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.9,45.0,-159.03414139945403,6.6084749817854815,292.63505082541025,99.79957480868833
101,101.0,1.0,0.0,1.0,0.9,2.0,2.0,1.0,1.0,0.7,0.9,40.0,-178.39112902676817,7.31875125910715,329.6422726077289,111.85300661016672
102,102.0,1.0,0.0,1.0,0.7,3.0,2.0,1.0,1.0,0.9,1.0,45.0,-148.91819964448723,8.610257067672498,332.95007260772894,140.44462611105448
103,103.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,1.0,60.0,-27.911838762569754,9.744629023205515,244.72005082541028,211.13093837748647
104,104.0,1.0,0.0,1.0,0.4,1.0,1.0,0.7,0.7,0.8,0.9,40.0,-171.75365632490238,7.982795416418341,316.1300508254103,91.16437442246374
105,105.0,1.0,0.0,1.0,0.1,1.0,1.0,0.9,0.9,0.7,1.0,45.0,-134.73574886842837,11.31887660373043,329.25506534695603,151.08319184745073
106,106.0,1.0,0.0,1.0,0.9,1.0,2.0,0.7,0.7,0.9,0.9,20.0,-262.33970204211107,2.336191878650031,339.62505082541026,17.561369336855943
107,107.0,1.0,0.0,1.0,0.8,1.0,2.0,0.9,0.9,0.9,1.0,20.0,-289.65559802859184,2.336191878650031,376.2450653469561,17.0888473978099
108,108.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,40.0,-231.5338757304779,5.063408075481224,352.7500653469561,67.13067658218634
109,109.0,1.0,0.0,1.0,0.4,2.0,1.0,0.9,0.9,0.8,1.0,50.0,-131.7218860714775,9.744629023205515,332.2668653469561,144.70437906554758
110,110.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,1.0,30.0,-201.07118459424672,4.204950471585056,292.63505082541025,49.68871151184244
111,111.0,1.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,55.0,-146.80245512687856,11.53015096905002,418.05007260772885,158.59701686085097
112,112.0,1.0,0.0,1.0,0.9,3.0,1.0,0.7,0.7,0.7,0.9,50.0,-89.44612837473035,7.982795416418341,244.72005082541028,130.88884736898603
113,113.0,1.0,0.0,1.0,0.9,1.0,1.0,0.7,0.7,0.8,1.0,25.0,-243.8017987534997,2.336191878650031,316.1300508254103,18.30073999715825
114,114.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0,0.7,0.9,20.0,-266.80642046074803,3.304230922637724,347.5650726077289,15.78018872318018
115,115.0,1.0,0.0,1.0,0.6,1.0,2.0,1.0,1.0,0.8,1.0,40.0,-201.2643950142441,7.982795416418341,371.0600726077289,113.65247427498888
116,116.0,1.0,0.0,1.0,0.8,2.0,2.0,0.7,0.7,1.0,0.9,30.0,-230.0140684034318,5.063408075481224,337.5160508254102,56.447830850555334
117,117.0,1.0,0.0,1.0,0.3,1.0,1.0,0.7,0.7,1.0,0.9,50.0,-143.3082958845575,11.53015096905002,363.12005082541026,173.05233958875905
118,118.0,1.0,0.0,1.0,0.1,1.0,1.0,0.7,0.7,0.8,0.9,20.0,-243.27926501167693,3.304230922637724,316.1300508254103,13.727563193409818
119,119.0,1.0,0.0,1.0,0.2,1.0,1.0,0.7,0.7,0.8,0.9,50.0,-99.59288630442356,11.53015096905002,316.1300508254103,158.61661367733376
120,120.0,1.0,0.0,1.0,0.5,2.0,1.0,1.0,1.0,0.7,0.9,25.0,-245.04738419940185,3.304230922637724,329.6422726077289,21.93806531249126
121,121.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0,0.9,0.9,60.0,-102.33289565161746,11.557899957417797,394.5550726077289,159.88999520351553
122,122.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.9,30.0,-216.23274127826335,3.304230922637724,299.650072607729,32.20119296134307
