n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,0.9,0.9,1.0,40.0,-466.34100590331144,12.39118903747125,794.4181640805233,331.685770598228
1,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.8,1.0,1.0,50.0,-385.2294518978629,21.34758413565328,736.2221240805234,568.0900097057902
2,2.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,0.9,1.0,0.9,40.0,-409.4819022108854,17.228584059626538,721.304727672471,350.9456035835528
3,3.0,1.0,1.0,1.0,1.0,0.6,3.0,2.0,1.0,0.9,0.8,30.0,-407.6980389425234,4.435883168136524,642.7261312644187,107.96386264888082
4,4.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,0.8,1.0,0.7,60.0,-262.32391482042993,23.078289705525684,654.2526148563663,750.2656973961177
5,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.8,60.0,-254.7674760355885,21.34758413565328,574.6441312644188,812.6830929742241
6,6.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.8,0.9,0.7,50.0,-324.42531264524285,19.359945033123836,622.8535748563663,523.297717121561
7,7.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,0.9,0.9,0.9,30.0,-454.7235089431722,4.435883168136524,721.304727672471,80.5675070213297
8,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,30.0,-480.5747429766338,4.435883168136524,707.8466148563664,144.49233681894896
9,9.0,1.0,1.0,1.0,1.0,0.1,3.0,2.0,1.0,1.0,0.8,30.0,-352.58600506891685,22.29896888868372,642.7261312644187,368.54435855765735
10,10.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,0.7,0.9,1.0,50.0,-303.14731321884017,23.078289705525684,713.3500040805234,535.1728817788191
11,11.0,1.0,1.0,1.0,1.0,0.5,3.0,1.0,1.0,0.9,0.8,30.0,-416.20275036351256,4.435883168136524,642.7261312644187,98.83174410636377
12,12.0,1.0,1.0,1.0,1.0,0.7,2.0,1.0,0.8,1.0,0.9,40.0,-440.8595033457237,4.435883168136524,698.432607672471,123.00388690181768
13,13.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,0.9,0.9,60.0,-316.98285438955435,23.078289705525684,721.304727672471,656.9696173246339
14,14.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.9,1.0,0.8,60.0,-240.1029020586107,23.078289705525684,718.8391312644187,384.8754907586737
