n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
0,0,-233250.2208,0.8,1.0,0.7,50,1.0,2,1,0,0,1,1,1,0,1,1,0,89.61177029532189,71.47093109077267,36.74077672846306,1069.3675842994185,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,14.0867,22.4415,70642.62764390383,1662.2567763951,1696.5657257
1,1,-248615.8828,0.8,0.9,0.7,20,0.9,2,1,0,0,1,1,1,0,1,1,0,56.952903867416595,37.894886537828896,33.98354535410814,969.1516638047351,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.303,16.089,32822.895756455335,568.4327941892,957.7188324
2,2,-209847.9633,0.9,1.0,0.8,35,0.9,2,1,0,0,1,1,1,0,1,1,0,71.31354670308866,54.01665625099753,27.650909575671324,673.5986152854142,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0089,20.6932,44253.53123179495,955.4737986418,1440.8864509
3,3,-372044.6752,0.7,1.0,0.7,25,1.0,2,1,0,0,1,1,1,0,1,1,0,64.1060427772248,46.064239689513855,32.156106306213395,810.8979679576601,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.2423,23.8518,35815.63020564397,903.1456013434,1300.6061194
4,4,-164675.8555,0.8,1.0,1.0,40,1.0,2,1,0,0,1,1,1,0,1,1,0,80.51912482735062,63.34383293777132,32.43199632435494,897.8818945997634,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0702,19.1243,55261.23355235607,1104.8553541959,1587.2906813
5,5,-91058.8086,0.8,0.7,0.1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,59.15667843611002,31.784872314488933,33.863574941625565,906.1109101147072,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0366,15.2554,31426.77226715582,517.0910063321,910.4975734
6,6,-200219.5844,0.9,0.7,0.4,20,0.9,2,1,0,0,1,1,1,0,1,1,0,45.13951497189997,25.400274058644037,25.714806866766267,634.1000260102512,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.8464,17.0275,23318.566209853845,425.9178127519,885.4579452
7,7,-53408.3528,0.9,1.0,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,71.54132444615114,51.06955714428267,36.14434960115461,1171.2851264494823,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0662996340837344,11.2339,18.0182,50527.02015940312,969.8837257824,1284.9924502
8,8,-84305.2621,0.7,0.7,0.5,45,1.0,2,1,0,0,1,1,1,0,1,1,0,73.1635331587108,53.66537769855819,35.21903417158563,1019.9910557487581,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.483,17.9182,50113.243927731564,950.6058321662,1334.2172718
9,9,35224.1226,1.0,1.0,0.2,50,0.9,2,1,0,0,1,1,1,0,1,1,0,48.99787938526501,30.202500499910872,27.909308831216492,870.3134882005309,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3624145543688412,9.9634,14.5544,29697.531990685267,464.1989973406,909.4620091
10,10,-32736.1984,1.0,0.9,0.9,55,0.9,2,1,0,0,1,1,1,0,1,1,0,67.74842070015377,47.292495468109195,33.68173580314055,1009.9055965222134,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.13186896882902469,13.3932,17.9178,49305.58098406944,938.022165941,1181.6867907
11,11,-393314.817,0.8,0.7,0.9,45,1.0,2,1,0,0,1,1,1,0,1,1,0,70.83391611762286,48.46862666861844,30.417069730596545,856.8264101795173,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.323,38.027,37036.68948648742,1476.2594327235,1853.6428099
12,12,-433537.0128,0.7,1.0,0.4,30,0.9,2,1,0,0,1,1,1,0,1,1,0,63.519859640552966,44.862099047333984,30.58111415704556,867.8380084629711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.2669,32.5188,35722.396578671665,1225.5740685061,1205.6768429
