n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
0,0,569979.4475,1.0,1.0,1.0,60,0.95,63.0979896333,422749.3029777
1,1,395462.8524,0.9,0.95,0.1,50,0.95,58.0787646834,422746.0506138
2,2,161000.1381,0.95,0.98,0.4,40,1.0,60.7174345597,422768.9726381
3,3,573659.2486,0.98,0.98,1.0,60,1.0,61.8360298407,422771.1408807
4,4,607478.2353,0.9,0.9,0.6,60,0.98,56.78819067,422760.9602244
5,5,573930.9228,0.98,0.98,0.1,60,1.0,61.8360298407,422767.8885167
6,6,-62675.3352,0.98,0.95,0.5,30,0.98,61.0616854326,422760.5988507
7,7,-63626.4731,0.95,1.0,0.7,30,1.0,61.2336641651,422770.0567594
8,8,377575.8976,0.98,0.9,0.8,50,0.98,59.7711114191,422761.682972
9,9,603847.7668,0.9,0.98,0.2,60,0.9,58.8531090915,422724.5740846
10,10,157544.621,1.0,0.98,0.2,40,0.9,62.581760028,422724.5740846
11,11,379288.8036,1.0,0.9,0.5,50,0.9,60.5168416064,422725.6582059
12,12,596750.4346,0.9,1.0,0.6,60,0.95,59.3693386969,422747.8574827
13,13,-70058.9923,0.98,1.0,0.1,30,0.98,62.352259446,422759.1533556
14,14,392493.181,0.95,0.9,0.9,50,0.9,58.6525161382,422727.103701
15,15,581101.7212,1.0,0.95,0.5,60,0.9,61.8074156199,422725.6582059
16,16,583476.415,1.0,0.9,0.4,60,0.95,60.5168416064,422747.1347351
17,17,372939.5528,0.95,0.98,0.7,50,1.0,60.7174345597,422770.0567594
18,18,365527.5513,1.0,0.95,1.0,50,0.98,61.8074156199,422762.4057195
19,19,603877.9529,0.9,0.98,0.1,60,0.9,58.8531090915,422724.2127108
20,20,575475.1738,0.98,0.98,0.7,60,0.98,61.8360298407,422761.3215982
21,21,-45397.787,0.95,0.95,1.0,30,0.9,59.9430901517,422727.4650748
22,22,-55119.1867,0.98,0.9,0.5,30,0.98,59.7711114191,422760.5988507
23,23,572505.0715,1.0,0.95,0.4,60,1.0,61.8074156199,422768.9726381
24,24,161034.3675,0.95,0.98,0.3,40,1.0,60.7174345597,422768.6112643
25,25,599383.4189,0.9,0.98,0.7,60,0.95,58.8531090915,422748.2188564
26,26,388623.8106,0.9,1.0,0.7,50,0.95,59.3693386969,422748.2188564
27,27,593150.0675,0.98,0.9,0.3,60,0.9,59.7711114191,422724.9354584
28,28,-61038.1054,1.0,0.9,0.5,30,0.98,60.5168416064,422760.5988507
29,29,614409.8899,0.9,0.9,0.5,60,0.9,56.78819067,422725.6582059
30,30,-54099.3402,0.98,0.95,0.9,30,0.9,61.0616854326,422727.103701
31,31,600880.6817,0.9,0.95,0.4,60,0.98,58.0787646834,422760.2374769
32,32,-46424.502,0.98,0.9,0.3,30,0.9,59.7711114191,422724.9354584
33,33,-53796.9571,0.95,0.95,0.5,30,0.98,59.9430901517,422760.5988507
34,34,600943.1084,0.9,1.0,1.0,60,0.9,59.3693386969,422727.4650748
35,35,-40577.7773,0.9,0.98,0.9,30,0.95,58.8531090915,422748.941604
36,36,156342.0908,1.0,0.95,0.9,40,0.95,61.8074156199,422748.941604
37,37,-63440.8415,1.0,0.9,1.0,30,1.0,60.5168416064,422771.1408807
38,38,605722.6821,0.9,0.9,0.7,60,1.0,56.78819067,422770.0567594
39,39,-69353.0231,0.98,0.98,0.4,30,1.0,61.8360298407,422768.9726381
40,40,-49670.9133,0.95,0.98,0.7,30,0.9,60.7174345597,422726.3809535
41,41,579683.286,0.98,1.0,0.8,60,0.9,62.352259446,422726.7423272
