n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
0,0,58140.3215,0.98,0.91,0.7,35,0.96,60.0292262218,422752.586437
1,1,-53379.2882,0.95,0.94,0.5,30,0.99,59.684975349,422764.9664312
2,2,48600.8142,1.0,0.97,0.3,35,0.92,62.3236452253,422733.6706196
3,3,49234.706,0.97,0.98,0.6,35,0.98,61.463164747,422760.9602244
4,4,380621.3216,0.97,0.92,0.7,50,0.95,59.9144759309,422748.2188564
5,5,53589.7431,0.97,0.94,1,35,0.99,60.4307055363,422766.7733001
6,6,602541.9687,0.92,0.91,0.6,60,0.96,57.79203566,422752.2250632
7,7,170642.1692,0.92,0.97,0.3,40,1.0,59.3407244761,422768.6112643
8,8,383507.2379,0.92,0.96,1,50,1.0,59.0826096734,422771.1408807
9,9,-43620.6869,0.94,0.91,0.1,30,0.97,58.5377658473,422754.785775
10,10,77446.3336,0.91,0.91,0.4,35,0.96,57.4191705663,422751.5023157
11,11,583999.5203,0.95,0.97,0.5,60,0.99,60.459319757,422764.9664312
12,12,65301.9315,0.91,0.99,0.7,35,0.97,59.4840889878,422756.9540176
13,13,582009.3383,1.0,0.93,0.6,60,0.92,61.2911860145,422734.7547409
14,14,487724.1144,0.95,0.95,0.1,55,0.93,59.9430901517,422737.3154526
15,15,281254.3479,0.96,0.91,0.6,45,0.93,59.2834960345,422739.1223215
16,16,365557.7373,1.0,0.95,0.9,50,0.98,61.8074156199,422762.0443457
17,17,-47112.1214,0.96,0.93,0.2,30,0.92,59.7997256399,422733.3092458
18,18,177074.862,0.96,0.91,0.4,40,0.91,59.2834960345,422729.6644127
19,19,254121.1814,1.0,0.98,1,45,1.0,62.581760028,422771.1408807
20,20,474345.346,0.96,0.99,0.8,55,0.99,61.3484144561,422766.0505526
21,21,382447.3269,0.92,0.97,0.1,50,1.0,59.3407244761,422767.8885167
22,22,395843.9711,0.91,0.95,0.2,50,0.91,58.4516297771,422728.9416652
23,23,580027.5348,0.99,0.92,0.4,60,0.99,60.6602061182,422764.6050575
24,24,379505.0664,0.96,0.91,1,50,1.0,59.2834960345,422771.1408807
25,25,-68133.9765,1.0,0.96,1,30,0.96,62.0655304226,422753.6705583
26,26,368247.7055,0.98,1.0,0.9,50,0.94,62.352259446,422744.5740234
27,27,600723.0264,0.94,0.91,0.4,60,0.92,58.5377658473,422734.0319933
28,28,58932.9163,0.93,0.99,0.3,35,0.98,60.2298191751,422759.8761031
29,29,494313.6457,0.91,0.96,0.6,55,0.96,58.7097445798,422752.2250632
30,30,178381.7644,0.94,0.91,0.7,40,0.95,58.5377658473,422748.2188564
31,31,62037.2303,0.94,0.97,0.2,35,0.95,60.0864546634,422746.4119876
32,32,175485.271,0.95,0.92,0.1,40,0.94,59.1687457436,422741.6830332
