n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.7,0.7,55.0,-434.5633583420542,190.19516550018875,1238.5484041277002,4978.557701464523
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,45.0,-722.9314331120626,132.5792090392728,1222.2411475745146,3502.7365300929982
2,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.7,0.9,0.9,1.0,55.0,-18.888263401730264,190.19516550018875,905.6296037528191,3868.8805733551358
3,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.3,0.7,1.0,1.0,55.0,158.03247481396528,190.19516550018875,930.09211528091,2088.2207301269577
4,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.8,0.8,1.0,1.0,65.0,-43.715133448340005,190.19516550018875,959.6046352809101,4314.04553416218
5,5.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.8,0.8,0.9,1.0,45.0,-428.20056200869425,162.37515352012838,919.474123752819,3709.9154996722305
6,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.6,0.9,0.7,0.9,45.0,-114.00893879583987,190.19516550018875,909.000540696637,3348.44302777751
7,7.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.9,0.7,0.8,0.8,55.0,252.91570822363502,190.19516550018875,809.556172224728,4608.665325428061
8,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3,0.7,0.8,0.9,65.0,781.5934303627987,190.19516550018875,1106.4252275745146,2012.9481453563756
9,9.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.1,0.9,1.0,0.9,55.0,841.743127886082,190.19516550018875,1029.39207528091,1122.6182237422863
10,10.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.2,0.8,0.8,1.0,55.0,427.7604538570103,190.19516550018875,925.372092224728,1643.0557693199135
11,11.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.4,0.7,0.7,0.9,45.0,284.4323931284481,190.19516550018875,964.1390041277003,2458.11310616342
12,12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.3,1.0,0.7,0.9,65.0,264.96513489317124,190.19516550018875,1296.0840041277004,2012.9481453563756
13,13.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.1,0.9,0.7,0.9,55.0,432.6014892048986,190.19516550018875,825.3685806966371,1122.6182237422863
14,14.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.7,0.7,0.9,55.0,213.34314826725915,190.19516550018875,704.3785806966371,5129.102871005686
