n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,1.0,0.6,1.0,1.0,0.7,0.7,0.8,1.0,50.0,-1186.913433376996,77.9143539830844,3063.6094204236274,1596.573875483757
1,1.0,1.0,1.0,1.0,0.6,2.0,2.0,0.8,0.8,1.0,1.0,30.0,-1796.9984217953686,52.38197966632623,3353.920880484145,898.2666714122261
2,2.0,1.0,1.0,1.0,0.4,3.0,1.0,0.8,0.8,1.0,1.0,30.0,-1504.2215236254988,52.38197966632623,2783.8524804841454,705.5862696462735
3,3.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.8,1.0,50.0,-1070.694907852732,130.58794234320223,3556.0866006051815,2538.398990952331
4,4.0,1.0,1.0,1.0,0.9,3.0,2.0,0.7,0.7,0.8,0.9,50.0,-776.0583164623011,76.26200830265213,2326.257420423627,1983.8491313449927
5,5.0,1.0,1.0,1.0,0.9,2.0,2.0,1.0,1.0,0.7,1.0,50.0,-1183.160850490932,74.54606869299404,3071.064480605181,1966.7517673022462
6,6.0,1.0,1.0,1.0,0.4,2.0,2.0,0.9,0.9,1.0,1.0,50.0,-959.3714232984378,130.58794234320223,3518.0799405446633,2954.135247063008
7,7.0,1.0,1.0,1.0,0.9,1.0,2.0,1.0,1.0,1.0,0.9,40.0,-2037.7208823687201,58.508503492874055,4033.8606006051814,1338.6647892241754
8,8.0,1.0,1.0,1.0,0.3,2.0,2.0,0.9,0.9,0.9,0.9,40.0,-1097.0306791881367,130.58794234320223,3314.3551005446634,2409.279968690301
9,9.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.8,1.0,40.0,-1333.0362418282116,77.9143539830844,3274.7893206051813,1424.3355567862263
10,10.0,1.0,1.0,1.0,0.3,2.0,2.0,0.7,0.7,0.9,1.0,60.0,-276.4699013070048,130.58794234320223,2986.036980423627,2538.398990952331
11,11.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,0.9,30.0,-1687.7106927608609,41.50495899604326,2965.452600605181,940.3944270595016
12,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.8,0.9,40.0,-1701.1450685462378,41.50495899604326,3063.6094204236274,940.3944270595016
13,13.0,1.0,1.0,1.0,0.1,2.0,2.0,0.8,0.8,0.8,1.0,60.0,-67.41511644264781,130.58794234320223,2946.471200484145,1706.9264787309778
14,14.0,1.0,1.0,1.0,0.1,1.0,2.0,0.9,0.9,0.9,0.9,50.0,-662.0965799873205,130.58794234320223,3630.8145405446635,1577.807456468948
15,15.0,1.0,1.0,1.0,0.1,1.0,2.0,0.8,0.8,0.9,0.9,60.0,-291.1514375166157,130.58794234320223,3466.655480484145,1577.807456468948
16,16.0,1.0,1.0,1.0,0.5,3.0,1.0,0.7,0.7,0.8,0.9,50.0,-616.9419731043296,106.29108532121222,2326.257420423627,2309.322434309546
17,17.0,1.0,1.0,1.0,0.6,3.0,1.0,0.8,0.8,0.8,1.0,40.0,-1162.6535979258163,63.93268598001005,2490.4164804841457,1179.5760619520563
18,18.0,1.0,1.0,1.0,0.4,3.0,2.0,1.0,1.0,0.7,1.0,30.0,-1243.514527898804,68.90193226572049,2672.0166006051813,1033.8014278296514
19,19.0,1.0,1.0,1.0,0.2,3.0,1.0,0.8,0.8,0.8,0.9,30.0,-1179.8626354591572,76.26200830265213,2490.4164804841457,821.7505208061527
20,20.0,1.0,1.0,1.0,0.3,1.0,2.0,0.7,0.7,0.9,0.9,50.0,-732.6027309350384,130.58794234320223,3302.496420423627,2409.279968690301
21,21.0,1.0,1.0,1.0,0.1,3.0,2.0,0.9,0.9,0.9,1.0,30.0,-1019.7059456891012,130.58794234320223,2801.2935405446633,1706.9264787309778
22,22.0,1.0,1.0,1.0,0.8,1.0,2.0,1.0,1.0,1.0,0.9,40.0,-1973.9287135847119,63.93268598001005,4033.8606006051814,1391.815241562431
23,23.0,1.0,1.0,1.0,0.6,2.0,1.0,1.0,1.0,0.7,0.9,60.0,-718.9040435602359,127.66028995263277,3071.064480605181,3523.562470924159
24,24.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.9,40.0,-1747.3677504640834,83.79852469307862,4033.8606006051814,1550.5390293297644
25,25.0,1.0,1.0,1.0,0.4,1.0,2.0,0.9,0.9,1.0,0.9,60.0,-754.5526096806557,130.58794234320223,3869.7015405446637,2825.016224800978
26,26.0,1.0,1.0,1.0,0.4,2.0,2.0,1.0,1.0,0.7,1.0,30.0,-1476.7606292274443,68.90193226572049,3071.064480605181,1033.8014278296514
27,27.0,1.0,1.0,1.0,0.5,3.0,2.0,1.0,1.0,0.9,1.0,30.0,-1484.3982636162275,58.508503492874055,2965.452600605181,928.3917757629658
28,28.0,1.0,1.0,1.0,0.6,1.0,1.0,0.8,0.8,0.7,1.0,40.0,-1452.4743278003111,63.93268598001005,2988.881480484145,1179.5760619520563
