n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.9,0.9,1.0,65.0,-146.77337044871325,11.963835853492505,431.54654716382487,315.8732863202541
1,1.0,1.0,0.0,1.0,2.0,0.6,3.0,1.0,1.0,0.9,0.7,65.0,-70.24492843449359,11.963835853492505,298.3214830146775,241.98609087930458
2,2.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,1.0,0.7,0.9,55.0,-126.39809894959474,11.963835853492505,400.05739244744245,194.36867030398267
3,3.0,1.0,0.0,1.0,2.0,0.4,2.0,1.0,0.9,1.0,1.0,55.0,-154.67105759740295,11.963835853492505,396.22262716382494,219.6153040163722
4,4.0,1.0,0.0,1.0,2.0,0.5,3.0,2.0,0.9,1.0,0.7,55.0,-117.77500331283562,11.963835853492505,281.81548301467745,238.08710287660958
5,5.0,1.0,0.0,1.0,2.0,0.7,2.0,2.0,0.8,1.0,1.0,65.0,-100.08374020712492,11.963835853492505,373.35050716382494,275.03070059708426
6,6.0,1.0,0.0,1.0,2.0,0.3,1.0,2.0,0.8,0.9,0.8,45.0,-180.75602337202724,11.963835853492505,366.67483773106,186.57069429859263
7,7.0,1.0,0.0,1.0,2.0,0.4,1.0,2.0,0.8,1.0,1.0,65.0,-159.58049733592185,11.963835853492505,404.74954716382496,219.6153040163722
8,8.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.7,0.9,0.9,55.0,-118.78328766922193,11.963835853492505,286.8781924474425,315.8732863202541
9,9.0,1.0,0.0,1.0,2.0,0.1,1.0,2.0,1.0,1.0,1.0,45.0,-229.35652595320238,11.963835853492505,458.3435471638249,164.1999074356602
10,10.0,1.0,0.0,1.0,2.0,0.9,1.0,1.0,1.0,0.7,1.0,45.0,-246.93934631533926,11.963835853492505,458.3435471638249,268.2558657449321
11,11.0,1.0,0.0,1.0,2.0,0.2,3.0,2.0,0.9,1.0,0.7,55.0,-58.416798371486585,11.963835853492505,281.81548301467745,182.67170629589754
12,12.0,1.0,0.0,1.0,2.0,0.3,3.0,1.0,0.9,1.0,0.8,55.0,-90.4118509594265,11.963835853492505,300.85283773106005,201.1435051561349
13,13.0,1.0,0.0,1.0,2.0,0.2,1.0,1.0,0.7,1.0,1.0,55.0,-175.23463363795886,11.963835853492505,377.95254716382493,182.67170629589754
14,14.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.9,0.8,0.7,55.0,-115.69854012839369,11.963835853492505,374.43448301467754,208.94148116152505
15,15.0,1.0,0.0,1.0,2.0,0.4,2.0,1.0,0.8,0.7,0.8,55.0,-147.6498751840692,11.963835853492505,335.27579773106,175.89687144374537
16,16.0,1.0,0.0,1.0,2.0,0.4,3.0,2.0,1.0,0.9,1.0,45.0,-139.54362317789875,11.963835853492505,355.4335471638249,205.04249315882996
17,17.0,1.0,0.0,1.0,2.0,0.3,3.0,2.0,0.7,0.7,1.0,45.0,-133.6635244209806,11.963835853492505,305.91554716382495,157.42507258350804
18,18.0,1.0,0.0,1.0,2.0,0.7,2.0,2.0,0.8,0.9,0.9,65.0,-86.70093401513651,11.963835853492505,354.3131524474424,260.45788973954194
19,19.0,1.0,0.0,1.0,2.0,0.7,3.0,2.0,1.0,1.0,1.0,55.0,-174.32987930390723,11.963835853492505,355.4335471638249,275.03070059708426
20,20.0,1.0,0.0,1.0,2.0,0.6,3.0,2.0,1.0,0.9,0.8,55.0,-140.82732918689337,11.963835853492505,317.35883773106,241.98609087930458
21,21.0,1.0,0.0,1.0,2.0,0.9,3.0,1.0,1.0,0.8,0.9,65.0,-101.04907609607541,11.963835853492505,336.39619244744244,282.8286766024744
22,22.0,1.0,0.0,1.0,2.0,0.6,3.0,2.0,0.7,0.9,0.8,55.0,-110.37012223776776,11.963835853492505,267.84083773106,241.98609087930458
23,23.0,1.0,0.0,1.0,2.0,0.8,3.0,2.0,1.0,0.9,0.7,55.0,-141.27742889997427,11.963835853492505,298.3214830146775,278.92968859977935
24,24.0,1.0,0.0,1.0,2.0,0.2,1.0,2.0,1.0,0.8,0.7,55.0,-114.66374024731226,11.963835853492505,401.2314830146775,153.5260845808129
25,25.0,1.0,0.0,1.0,2.0,0.1,1.0,2.0,0.7,0.8,0.9,55.0,-87.22875358149915,11.963835853492505,358.91519244744245,135.0542857205756
26,26.0,1.0,0.0,1.0,2.0,0.3,3.0,1.0,0.8,0.9,1.0,55.0,-142.34733429337993,11.963835853492505,322.421547163825,186.57069429859263
27,27.0,1.0,0.0,1.0,2.0,0.2,1.0,1.0,1.0,0.8,0.7,65.0,-153.82464542534277,11.963835853492505,401.2314830146775,153.5260845808129
28,28.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.9,1.0,1.0,55.0,-229.2678468182585,7.73385501546214,396.22262716382494,185.80801794041562
29,29.0,1.0,0.0,1.0,2.0,0.4,2.0,1.0,0.7,0.9,0.7,55.0,-131.19589190388226,11.963835853492505,293.36632301467745,205.04249315882996
30,30.0,1.0,0.0,1.0,2.0,0.8,3.0,1.0,0.7,0.8,0.7,55.0,-79.31164095046569,11.963835853492505,248.80348301467743,264.35687774223703
31,31.0,1.0,0.0,1.0,2.0,0.6,2.0,2.0,1.0,1.0,0.7,55.0,-173.17670765430586,11.963835853492505,361.98268301467743,256.55890173684696
32,32.0,1.0,0.0,1.0,2.0,0.4,1.0,1.0,0.8,0.9,1.0,45.0,-193.2031541061663,11.963835853492505,404.74954716382496,205.04249315882996
33,33.0,1.0,0.0,1.0,2.0,0.8,3.0,2.0,0.8,0.8,0.9,45.0,-127.06984492725027,11.963835853492505,303.3841924474425,264.35687774223703
34,34.0,1.0,0.0,1.0,2.0,0.1,1.0,2.0,1.0,0.8,1.0,55.0,-142.78905532733,11.963835853492505,458.3435471638249,135.0542857205756
35,35.0,1.0,0.0,1.0,2.0,0.4,3.0,1.0,0.7,0.7,0.7,55.0,-94.58521503860803,11.963835853492505,248.80348301467743,175.89687144374537
36,36.0,1.0,0.0,1.0,2.0,0.7,2.0,1.0,0.8,0.9,1.0,55.0,-197.6478850390315,11.963835853492505,373.35050716382494,260.45788973954194
37,37.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.9,0.9,0.9,45.0,-192.4252272354815,6.455532174825935,319.8901924474425,153.17244871424649
38,38.0,1.0,0.0,1.0,2.0,0.8,1.0,1.0,0.7,1.0,0.8,55.0,-144.36579923802978,11.963835853492505,339.87783773105997,293.5024994573216
39,39.0,1.0,0.0,1.0,2.0,0.7,2.0,1.0,1.0,0.8,1.0,55.0,-221.2514642219888,11.963835853492505,419.09474716382493,245.88507888199968
40,40.0,1.0,0.0,1.0,2.0,0.1,2.0,2.0,0.8,0.9,0.9,55.0,-133.58929937451694,11.963835853492505,354.3131524474424,149.62709657811791
41,41.0,1.0,0.0,1.0,2.0,0.2,2.0,2.0,0.7,0.8,0.8,55.0,-67.6230647506769,11.963835853492505,312.40367773106,153.5260845808129
42,42.0,1.0,0.0,1.0,2.0,0.2,1.0,1.0,1.0,0.9,1.0,45.0,-247.5242685841373,11.963835853492505,458.3435471638249,168.09889543835527
43,43.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.7,0.8,0.7,45.0,-203.4705510865486,1.7069018034739536,320.84048301467743,36.91010174901247
44,44.0,1.0,0.0,1.0,2.0,0.2,2.0,2.0,1.0,0.9,0.7,55.0,-144.74305471287252,11.963835853492505,361.98268301467743,168.09889543835527
45,45.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,0.9,0.9,0.9,55.0,-166.39457865813125,11.963835853492505,412.50919244744244,223.51429201906728
46,46.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.8,1.0,1.0,55.0,-170.43611774740438,11.963835853492505,373.35050716382494,311.974298317559
47,47.0,1.0,0.0,1.0,2.0,0.9,2.0,2.0,0.8,0.8,0.9,55.0,-176.78480565399246,11.963835853492505,354.3131524474424,282.8286766024744
