n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.8,0.9,0.9,60.0,177.17172075592782,107.28334889774962,520.3666037528191,1520.9408575293871,4.0
1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9,0.8,1.0,55.0,-402.79571312665496,103.70331598241185,612.5090922247281,2634.434673405548,8.0
2,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,35.0,-824.7752383492864,22.074667526002244,677.52351528091,836.9179696662056,10.0
3,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.9,0.9,0.9,35.0,-275.809206247807,107.28334889774962,609.7711637528191,2112.23498112724,6.0
4,4.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.7,0.8,0.9,50.0,-130.90268314058684,107.28334889774962,514.3969722247281,2112.23498112724,6.0
5,5.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,45.0,-146.6174413234669,107.28334889774962,685.0246037528191,967.2414684130537,2.0
6,6.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.7,0.7,1.0,25.0,-354.4022214760332,31.598753349155245,420.20658069663705,303.4237271508813,2.0
7,7.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,0.8,0.9,20.0,-285.4697965964809,107.28334889774962,520.034092224728,929.6467339315336,2.0
8,8.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,0.7,1.0,35.0,-78.23895031242,107.28334889774962,479.9035806966371,967.2414684130537,2.0
9,9.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.9,55.0,-95.19952362256959,107.28334889774962,600.2951152809101,3294.823228322946,10.0
10,10.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.7,1.0,45.0,87.61264866328148,107.28334889774962,479.9035806966371,967.2414684130537,2.0
11,11.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.8,1.0,0.9,35.0,-619.2599357231405,22.074667526002244,622.27983528091,677.3319573880829,8.0
12,12.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.9,0.7,0.9,25.0,-545.7895376796299,22.074667526002244,460.0045806966371,677.3319573880829,8.0
13,13.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.9,0.9,0.9,20.0,-625.8165449286872,22.074667526002244,609.7711637528191,373.7550961420745,4.0
14,14.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,0.8,1.0,55.0,-48.20565427975502,107.28334889774962,514.3969722247281,3332.417962804467,10.0
15,15.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.9,0.9,60.0,-434.7446730890449,100.22517557504405,560.1646037528191,3051.6996945076194,10.0
16,16.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.9,1.0,1.0,35.0,-622.7238851961895,22.074667526002244,649.90167528091,533.3411084201972,6.0
17,17.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.7,0.7,1.0,50.0,67.20997549923032,107.28334889774962,420.20658069663705,1558.5355920109073,4.0
18,18.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,55.0,-323.4392678573025,107.28334889774962,725.1551152809101,3294.823228322946,10.0
19,19.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.7,0.7,0.9,60.0,707.7136401922314,107.28334889774962,420.20658069663705,929.6467339315336,2.0
20,20.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.9,1.0,50.0,239.78460474757753,107.28334889774962,560.1646037528191,1558.5355920109073,4.0
21,21.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.9,1.0,1.0,30.0,-580.5502436253462,22.074667526002244,580.3961152809101,685.1295390432012,8.0
22,22.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.9,0.9,1.0,25.0,-749.8460364252409,22.074667526002244,652.6396037528191,685.1295390432012,8.0
23,23.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.7,0.9,1.0,40.0,-210.1607873106602,107.28334889774962,587.869603752819,1558.5355920109073,4.0
24,24.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.7,0.8,1.0,40.0,-570.153147402376,22.074667526002244,514.3969722247281,685.1295390432012,8.0
25,25.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.9,60.0,267.5755037066043,107.28334889774962,600.2951152809101,929.6467339315336,2.0
26,26.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.7,0.8,0.9,30.0,-429.07440530917376,22.074667526002244,460.33709222472805,373.7550961420745,4.0
27,27.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.8,1.0,50.0,-21.423776584640144,107.28334889774962,520.034092224728,2741.1238392066134,8.0
28,28.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,1.0,1.0,20.0,-894.2631522458144,22.074667526002244,628.00011528091,836.9179696662056,10.0
