n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.8,0.9,0.7,1.0,30.0,-197.6470556000297,7.31875125910715,310.94505808618317,70.12663343145721,2.0
1,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.8,0.9,1.0,40.0,-203.96914961971527,7.982795416418341,371.51147260772893,117.46386130759498,6.0
2,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,40.0,-226.15551114974275,5.063408075481224,334.4400580861832,61.98127702752076,8.0
3,3.0,1.0,0.0,2.0,1.0,2.0,2.0,0.7,0.7,0.7,0.9,20.0,-206.019564627028,3.304230922637724,274.71225082541025,20.63103351278231,4.0
4,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,40.0,-239.21894354852003,9.744629023205515,418.05007260772885,113.91022680517491,2.0
5,5.0,1.0,0.0,2.0,1.0,2.0,2.0,0.7,0.7,0.9,0.9,55.0,-92.78340779249447,11.53015096905002,316.5814508254103,190.53539864574537,4.0
6,6.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.7,0.8,0.9,30.0,-247.82566794257534,3.304230922637724,350.57687260772894,34.06517728649659,10.0
7,7.0,1.0,0.0,2.0,1.0,3.0,1.0,0.9,0.7,0.9,0.9,60.0,-134.6162691609195,7.982795416418341,314.6400653469561,145.1860536793007,10.0
8,8.0,1.0,0.0,2.0,1.0,2.0,1.0,0.8,0.9,0.9,0.9,25.0,-254.25818396583088,3.304230922637724,334.89145808618326,25.109081437353737,6.0
9,9.0,1.0,0.0,2.0,1.0,3.0,2.0,0.9,0.9,0.7,1.0,25.0,-200.9726190218852,3.304230922637724,281.34006534695607,30.8843446578851,8.0
10,10.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.8,1.0,50.0,-158.88012508650354,7.31875125910715,316.30007260772896,130.21366928091533,10.0
11,11.0,1.0,0.0,2.0,1.0,1.0,2.0,0.8,0.8,0.7,0.9,50.0,-127.1737729395771,9.194281154186596,310.94505808618317,144.36551259850717,6.0
12,12.0,1.0,0.0,2.0,1.0,3.0,2.0,0.9,0.9,1.0,1.0,25.0,-237.29271851930352,4.204950471585056,331.29006534695606,39.31230146522091,6.0
13,13.0,1.0,0.0,2.0,1.0,3.0,2.0,0.8,1.0,1.0,1.0,30.0,-199.32887378184788,7.31875125910715,312.9800580861832,70.12663343145721,2.0
14,14.0,1.0,0.0,2.0,1.0,3.0,1.0,0.7,0.9,0.9,0.9,60.0,-49.46967014186917,11.557899957417797,278.0200508254103,222.20389856755835,6.0
15,15.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.9,1.0,1.0,45.0,-144.34457914315848,9.744629023205515,349.6000726077289,147.48444865761252,4.0
16,16.0,1.0,0.0,2.0,1.0,1.0,2.0,0.7,0.8,0.7,0.9,55.0,-57.953729315506536,11.58296780105606,292.63505082541025,223.4674107999908,6.0
17,17.0,1.0,0.0,2.0,1.0,2.0,1.0,0.8,1.0,1.0,0.9,25.0,-267.99745662211666,4.204950471585056,355.8260580861831,24.315985395679117,2.0
18,18.0,1.0,0.0,2.0,1.0,1.0,2.0,0.9,0.9,1.0,1.0,40.0,-251.88942338723547,5.859528792858796,399.7400653469561,89.65827883562622,10.0
19,19.0,1.0,0.0,2.0,1.0,1.0,2.0,0.7,0.9,0.7,1.0,30.0,-208.3731798909264,3.304230922637724,292.63505082541025,30.8843446578851,8.0
20,20.0,1.0,0.0,2.0,1.0,2.0,1.0,0.9,0.7,0.7,1.0,25.0,-239.86917769840628,2.336191878650031,311.33226534695604,18.104849277308784,8.0
21,21.0,1.0,0.0,2.0,1.0,2.0,2.0,0.8,0.9,0.9,1.0,45.0,-162.53932674608257,9.194281154186596,334.89145808618326,131.86745842832516,4.0
22,22.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,0.7,0.7,1.0,60.0,-40.168680803499846,11.53015096905002,274.71225082541025,204.95152774068796,4.0
23,23.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.8,1.0,0.9,25.0,-307.24610485364354,5.063408075481224,418.05007260772885,41.96379685298544,4.0
24,24.0,1.0,0.0,2.0,1.0,2.0,2.0,0.8,0.7,1.0,1.0,55.0,-159.80860021736638,8.610257067672498,355.8260580861831,154.71506587403542,8.0
25,25.0,1.0,0.0,2.0,1.0,3.0,2.0,0.9,0.8,0.7,1.0,40.0,-171.60071969155857,5.063408075481224,281.34006534695607,70.61837232238528,10.0
26,26.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,30.0,-262.16055195970705,5.859528792858796,371.0600726077289,43.013843141287744,2.0
27,27.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.7,0.9,0.9,45.0,-138.00399871992337,11.365603480421356,332.95007260772894,154.74609585797214,2.0
28,28.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.7,1.0,0.9,25.0,-260.4939869349435,3.304230922637724,349.6000726077289,29.587129361925165,8.0
29,29.0,1.0,0.0,2.0,1.0,1.0,2.0,0.9,0.7,1.0,0.9,45.0,-209.47612883008804,8.610257067672498,399.7400653469561,146.95894838475627,8.0
30,30.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.8,0.9,0.9,20.0,-250.23824241425973,3.304230922637724,332.95007260772894,20.63103351278231,4.0
31,31.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,1.0,1.0,0.9,35.0,-241.4553010783094,3.304230922637724,337.5160508254102,34.06517728649659,10.0
32,32.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,50.0,-243.450422168746,7.982795416418341,418.05007260772885,117.46386130759498,6.0
33,33.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.7,0.7,1.0,55.0,-78.50357202207398,9.744629023205515,299.650072607729,194.54889112430337,8.0
34,34.0,1.0,0.0,2.0,1.0,3.0,1.0,0.7,1.0,0.8,1.0,20.0,-205.82354968424062,1.7609146983568025,261.3700508254103,10.704746135623765,6.0
35,35.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.7,0.8,1.0,45.0,-173.22106339904244,7.982795416418341,350.57687260772894,134.62411283040592,8.0
36,36.0,1.0,0.0,2.0,1.0,2.0,2.0,0.8,0.8,0.7,0.9,40.0,-146.6654779569673,8.610257067672498,293.0222580861832,108.38200289413436,4.0
37,37.0,1.0,0.0,2.0,1.0,3.0,2.0,0.7,0.7,1.0,1.0,50.0,-63.344468290110896,11.53015096905002,294.67005082541027,174.55640934505684,2.0
38,38.0,1.0,0.0,2.0,1.0,3.0,1.0,0.9,1.0,1.0,1.0,20.0,-263.8377762481301,1.7609146983568025,331.29006534695606,14.480694935623765,10.0
39,39.0,1.0,0.0,2.0,1.0,3.0,1.0,0.7,0.7,0.8,1.0,30.0,-195.97506157140796,2.336191878650031,261.3700508254103,20.78263494588021,10.0
40,40.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.8,0.8,1.0,25.0,-257.6786951620018,4.204950471585056,350.57687260772894,26.294553320491847,2.0
41,41.0,1.0,0.0,2.0,1.0,1.0,2.0,0.9,0.7,1.0,0.9,40.0,-192.03516002867235,11.365603480421356,399.7400653469561,154.74609585797214,2.0
42,42.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,1.0,0.9,1.0,60.0,-101.18254954981822,10.751127173934911,316.5814508254103,178.33316098409574,4.0
43,43.0,1.0,0.0,2.0,1.0,2.0,1.0,0.8,0.9,1.0,0.9,30.0,-272.18938273813325,2.336191878650031,355.8260580861831,20.043264285577905,10.0
