n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.9,35.0,-209.63368471590354,11.963835853492505,400.05739244744245,216.6249136331562,4.0
1,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.9,1.0,0.8,30.0,-250.3626313188051,0.48617512011684705,393.47183773106,6.910893185902965,2.0
2,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,1.0,25.0,-242.25440501161395,0.48617512011684705,377.95254716382493,8.351412060323252,4.0
3,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.9,0.9,0.7,25.0,-207.00650635048675,6.505456290033537,339.11056301467744,100.64121904336729,4.0
4,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7,20.0,-260.47302007659346,0.48617512011684705,401.2314830146775,12.672968683584113,10.0
5,5.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,20.0,-269.8124615308815,0.48617512011684705,420.26883773106,8.351412060323252,4.0
6,6.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.7,1.0,1.0,55.0,-93.46624532180897,11.963835853492505,350.47838716382495,181.17651110428952,2.0
7,7.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.9,60.0,-158.5812308781265,11.963835853492505,400.05739244744245,181.17651110428952,2.0
8,8.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.9,1.0,1.0,30.0,-215.0129814693143,0.6613143364341597,338.92754716382495,11.042016164398797,4.0
9,9.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.9,0.9,0.9,55.0,-82.83703488058212,11.963835853492505,319.8901924474425,202.05210277561395,4.0
10,10.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.7,0.9,0.9,25.0,-215.260154154606,0.48617512011684705,331.44103244744247,10.68541237801556,8.0
11,11.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.8,60.0,-100.12219124221905,11.963835853492505,317.35883773106,322.9701212197562,10.0
