n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,1.0,20.0,-1860.7365741406163,52.38197966632623,3391.9275405446633,521.8742824330508,2.0
1,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,0.9,50.0,-905.0611967016201,70.85427533892505,2326.257420423627,1667.5929991855721,8.0
2,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,35.0,-1588.2947385591872,52.38197966632623,2986.036980423627,1126.8207313890969,8.0
3,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.8,1.0,25.0,-1878.7723670381456,41.50495899604326,3110.630260544663,700.6586703429214,6.0
4,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,50.0,-1679.637830966153,68.90193226572049,3682.2390006051814,1645.1552771195327,8.0
5,5.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,1.0,50.0,-166.58201948282922,130.58794234320223,2326.257420423627,2073.835755517876,2.0
6,6.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.7,1.0,60.0,-397.9452558988103,130.58794234320223,2742.746360484145,2856.4812884154503,4.0
7,7.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,0.9,50.0,-237.3865384229685,130.58794234320223,2179.539420423627,1944.7167332558456,2.0
8,8.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,0.9,60.0,-107.22112352241075,130.58794234320223,2179.539420423627,3510.0077990509953,6.0
9,9.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,0.9,35.0,-1283.122696653577,41.50495899604326,2326.257420423627,981.2876435893429,10.0
10,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,60.0,-1603.9459674778582,75.70171885222204,3869.7015405446637,2185.0941846102487,10.0
11,11.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,1.0,40.0,-1608.693407174077,52.38197966632623,3063.6094204236274,1328.469547707779,10.0
12,12.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,0.9,35.0,-1994.6765933218376,52.38197966632623,3794.973600605181,1094.79818477766,8.0
13,13.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,45.0,-1919.2154424265775,52.38197966632623,3682.2390006051814,1296.4470010963419,10.0
14,14.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.9,0.9,45.0,-1240.432703505063,104.23114909645169,3314.3551005446634,2478.029060511834,6.0
15,15.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.9,30.0,-1769.0107286533073,41.50495899604326,3071.064480605181,981.2876435893429,10.0
