n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.7,1.0,0.9,20.0,-562.6901750524247,22.074667526002244,594.65799528091,373.7550961420745,4.0
1,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.9,0.8,0.7,50.0,137.99345797668727,107.28334889774962,569.6406522247281,854.4572649684934,2.0
2,2.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.9,0.9,0.9,20.0,-522.490490617763,22.074667526002244,540.2656037528191,373.7550961420745,4.0
3,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,60.0,462.05365684417677,107.28334889774962,580.1240922247281,1520.9408575293871,4.0
4,4.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.8,0.7,0.7,45.0,37.649075487951606,107.28334889774962,440.10558069663705,854.4572649684934,2.0
5,5.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.7,1.0,1.0,50.0,-264.80719635833253,107.28334889774962,540.5981152809101,2149.82971560876,6.0
6,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,1.0,0.9,30.0,-639.9270500424262,22.074667526002244,692.7701152809101,525.5435267650787,6.0
7,7.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.9,60.0,165.09921505560715,107.28334889774962,600.2951152809101,2703.5291047250935,8.0
8,8.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.7,1.0,0.7,55.0,250.04521185180369,107.28334889774962,540.5981152809101,2037.0455121642,6.0
9,9.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.7,0.7,0.8,30.0,-141.2590561188247,107.28334889774962,474.266460696637,892.0519994500135,2.0
10,10.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.8,0.8,0.8,40.0,-541.4476313588267,22.074667526002244,480.2360922247281,821.322806355969,10.0
11,11.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,60.0,362.8256792878664,107.28334889774962,725.1551152809101,967.2414684130537,2.0
12,12.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.8,0.9,1.0,40.0,-551.1250517385304,35.81678009697127,620.254603752819,769.1420318375893,6.0
13,13.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.9,0.8,0.8,30.0,-156.90207447717356,107.28334889774962,500.1350922247281,892.0519994500135,2.0
14,14.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.9,0.7,55.0,-257.9938990005557,107.28334889774962,637.393003752819,2628.3396357620536,8.0
15,15.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.9,0.7,0.7,25.0,-354.8947160964954,82.07159182445584,460.0045806966371,644.4715741547336,2.0
16,16.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.7,0.9,0.7,35.0,-693.1764128268077,22.074667526002244,587.869603752819,813.5252247008503,10.0
17,17.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.7,0.8,0.9,50.0,419.7865424078774,107.28334889774962,514.3969722247281,929.6467339315336,2.0
18,18.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.7,0.7,0.9,20.0,-756.7268142173955,22.074667526002244,420.20658069663705,829.1203880110872,10.0
19,19.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.9,0.8,55.0,88.8988658402749,107.28334889774962,560.1646037528191,2074.6402466457207,6.0
