n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.9,0.7,1.0,1.0,35.0,-297.9159937794494,3.304230922637724,399.7400653469561,35.36239258245653,10.0
1,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.8,0.9,1.0,1.0,35.0,-238.79018342721284,7.31875125910715,381.43005808618324,100.17015135618627,6.0
2,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.7,0.7,0.7,0.7,20.0,-224.23753034794996,2.336191878650031,292.63505082541025,18.56452296497329,10.0
3,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.7,0.8,1.0,40.0,-222.6320296063909,5.859528792858796,350.57687260772894,78.89296231826168,8.0
4,4.0,1.0,0.0,2.0,1.0,2.0,1.0,0.8,0.8,0.7,0.9,55.0,-70.13471859458645,11.53015096905002,293.0222580861832,190.53539864574537,4.0
5,5.0,1.0,0.0,2.0,1.0,2.0,2.0,0.8,0.9,1.0,0.9,30.0,-245.72130289648717,5.063408075481224,355.8260580861831,59.2379874427145,8.0
6,6.0,1.0,0.0,2.0,1.0,2.0,2.0,0.9,0.8,0.7,0.8,30.0,-213.03885152077635,4.204950471585056,311.33226534695604,48.3729137603245,10.0
7,7.0,1.0,0.0,2.0,1.0,2.0,2.0,0.9,0.7,1.0,0.9,45.0,-201.7700644936591,8.610257067672498,374.13606534695606,127.67047563944533,6.0
8,8.0,1.0,0.0,2.0,1.0,3.0,1.0,0.9,0.7,0.7,1.0,25.0,-201.7621111062029,4.204950471585056,281.34006534695607,26.294553320491847,2.0
9,9.0,1.0,0.0,2.0,1.0,2.0,2.0,0.8,0.7,0.7,0.8,40.0,-141.10776354835693,9.194281154186596,293.0222580861832,114.05556674699828,4.0
10,10.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.9,0.8,30.0,-240.9823623968655,3.304230922637724,332.95007260772894,28.289914065965228,8.0
11,11.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,20.0,-267.8309335424793,2.758594824312179,347.5650726077289,12.97956583935268,2.0
12,12.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.8,0.8,1.0,55.0,-161.35898354262014,7.982795416418341,350.57687260772894,151.7843643532169,10.0
13,13.0,1.0,0.0,2.0,1.0,1.0,1.0,0.9,0.9,1.0,0.8,60.0,-149.92189448002645,11.557899957417797,399.7400653469561,177.25116424074218,4.0
14,14.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.7,1.0,0.9,50.0,-229.88174108648693,7.31875125910715,392.44607260772887,109.68142287164153,8.0
15,15.0,1.0,0.0,2.0,1.0,2.0,2.0,0.7,0.9,1.0,0.7,30.0,-245.87565661377332,3.304230922637724,337.5160508254102,31.47074669457671,10.0
16,16.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,50.0,-234.2262802993729,7.31875125910715,394.5550726077289,113.68220694018751,10.0
17,17.0,1.0,0.0,2.0,1.0,3.0,1.0,0.7,0.9,0.8,0.9,55.0,-74.67213782753443,9.194281154186596,261.3700508254103,165.7695126093526,8.0
18,18.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,1.0,1.0,0.7,35.0,-231.49004594320584,5.859528792858796,337.5160508254102,57.37813692625609,6.0
19,19.0,1.0,0.0,2.0,1.0,3.0,1.0,0.8,0.8,0.9,1.0,25.0,-225.99802867077872,2.336191878650031,296.3300580861832,18.104849277308784,8.0
20,20.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,0.9,0.7,0.8,20.0,-212.18240747416408,2.758594824312179,274.71225082541025,11.098748909196429,2.0
21,21.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.8,1.0,1.0,40.0,-252.48843750708835,7.982795416418341,418.05007260772885,100.30360978478404,4.0
22,22.0,1.0,0.0,2.0,1.0,3.0,1.0,0.9,1.0,0.9,1.0,55.0,-91.12196574703117,11.53015096905002,314.6400653469561,204.95152774068796,4.0
23,23.0,1.0,0.0,2.0,1.0,2.0,2.0,0.7,0.9,0.7,0.7,60.0,-91.12196574703117,11.53015096905002,314.6400653469561,204.95152774068796,4.0
24,24.0,1.0,0.0,2.0,1.0,3.0,1.0,0.9,0.7,0.8,1.0,50.0,-91.12196574703117,11.53015096905002,314.6400653469561,204.95152774068796,10.0
25,25.0,1.0,0.0,2.0,1.0,3.0,2.0,0.7,1.0,0.9,0.9,20.0,-91.12196574703117,11.53015096905002,314.6400653469561,204.95152774068796,4.0
26,26.0,1.0,0.0,2.0,1.0,1.0,2.0,0.9,0.8,1.0,1.0,40.0,-91.12196574703117,11.53015096905002,314.6400653469561,204.95152774068796,10.0
27,27.0,1.0,0.0,2.0,1.0,3.0,2.0,0.8,0.8,0.9,0.8,40.0,-91.12196574703117,11.53015096905002,314.6400653469561,204.95152774068796,2.0
28,28.0,1.0,0.0,2.0,1.0,3.0,2.0,0.9,0.7,0.9,0.9,30.0,-205.57599687305978,6.6084749817854815,314.6400653469561,66.32676052509142,4.0
29,29.0,1.0,0.0,2.0,1.0,3.0,1.0,0.8,0.9,1.0,0.7,55.0,-86.1211908450034,11.60563302293498,312.9800580861832,195.04725147176404,6.0
30,30.0,1.0,0.0,2.0,1.0,3.0,2.0,0.8,0.9,0.7,0.8,35.0,-144.88855669783797,6.6084749817854815,263.0300580861832,87.60942655533574,8.0
31,31.0,1.0,0.0,2.0,1.0,2.0,1.0,0.9,0.7,0.9,0.7,35.0,-144.88855669783797,6.6084749817854815,263.0300580861832,87.60942655533574,6.0
32,32.0,1.0,0.0,2.0,1.0,1.0,2.0,0.8,1.0,0.7,0.9,35.0,-211.56065490048442,4.204950471585056,310.94505808618317,50.351481685137244,10.0
33,33.0,1.0,0.0,2.0,1.0,1.0,1.0,0.8,0.8,0.7,0.7,25.0,-233.25552137207197,3.304230922637724,310.94505808618317,18.03660292086243,4.0
34,34.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.8,1.0,0.7,45.0,-216.28698127402023,9.744629023205515,392.44607260772887,117.35844680033603,4.0
35,35.0,1.0,0.0,2.0,1.0,3.0,1.0,0.8,0.9,0.8,1.0,25.0,-214.19561292634287,2.336191878650031,279.68005808618324,20.78263494588021,10.0
36,36.0,1.0,0.0,2.0,1.0,1.0,2.0,0.7,0.8,0.9,0.9,40.0,-144.96622006847653,11.365603480421356,339.62505082541026,154.74609585797214,2.0
37,37.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,0.7,1.0,1.0,25.0,-264.11650545457684,2.336191878650031,337.5160508254102,18.104849277308784,8.0
38,38.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.7,0.7,0.7,40.0,-176.08475936400106,7.31875125910715,299.650072607729,83.63868901545845,6.0
39,39.0,1.0,0.0,2.0,1.0,3.0,2.0,0.7,0.8,0.7,0.9,55.0,-37.40765739326627,9.744629023205515,244.72005082541028,184.50689050521123,8.0
40,40.0,1.0,0.0,2.0,1.0,1.0,1.0,0.8,0.9,1.0,0.8,25.0,-287.13297397170396,5.063408075481224,381.43005808618324,30.583411973314643,2.0
41,41.0,1.0,0.0,2.0,1.0,1.0,2.0,0.8,0.7,0.8,1.0,35.0,-199.9554726834112,7.31875125910715,334.4400580861832,100.17015135618627,6.0
42,42.0,1.0,0.0,2.0,1.0,3.0,2.0,0.8,0.8,0.8,0.9,35.0,-161.4455932700256,6.6084749817854815,279.68005808618324,92.11383600482047,8.0
43,43.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.8,0.7,0.7,45.0,-144.92036585945874,7.982795416418341,299.650072607729,114.82918080865728,8.0
44,44.0,1.0,0.0,2.0,1.0,1.0,2.0,0.7,1.0,1.0,1.0,40.0,-233.1637012925461,5.859528792858796,363.12005082541026,78.89296231826168,8.0
45,45.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.9,1.0,0.9,60.0,-127.8446629534857,9.194281154186596,349.6000726077289,187.17351262019804,10.0
46,46.0,1.0,0.0,2.0,1.0,3.0,2.0,0.8,1.0,0.7,0.8,50.0,-28.20342863483776,11.58296780105606,263.0300580861832,147.97916782949545,2.0
47,47.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.8,1.0,1.0,55.0,-176.59277576971624,10.751127173934911,418.05007260772885,178.33316098409574,4.0
48,48.0,1.0,0.0,2.0,1.0,2.0,2.0,0.8,1.0,0.7,0.8,40.0,-141.10776354835693,9.194281154186596,293.0222580861832,114.05556674699828,4.0
49,49.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.7,0.7,0.9,20.0,-234.66198669429346,1.7609146983568025,299.650072607729,13.976612642061387,10.0
50,50.0,1.0,0.0,2.0,1.0,3.0,1.0,0.9,1.0,0.8,0.7,55.0,-60.25014999596054,11.60563302293498,297.9900653469561,164.65213307613288,4.0
51,51.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9,60.0,-169.14653665856952,9.744629023205515,418.05007260772885,184.50689050521123,8.0
52,52.0,1.0,0.0,2.0,1.0,2.0,1.0,0.7,0.7,0.7,0.9,20.0,-219.30321565708886,1.7609146983568025,274.71225082541025,13.976612642061387,10.0
53,53.0,1.0,0.0,2.0,1.0,1.0,1.0,0.9,0.8,0.8,0.9,20.0,-281.1894416199265,1.7609146983568025,352.7500653469561,13.976612642061387,10.0
54,54.0,1.0,0.0,2.0,1.0,3.0,1.0,0.8,1.0,0.9,0.8,25.0,-227.68542323636078,2.336191878650031,296.3300580861832,16.626107956704168,8.0
55,55.0,1.0,0.0,2.0,1.0,1.0,2.0,0.8,0.9,0.7,0.8,55.0,-91.51080009478952,9.744629023205515,310.94505808618317,197.99711111946448,10.0
56,56.0,1.0,0.0,2.0,1.0,2.0,2.0,0.7,1.0,1.0,1.0,60.0,-120.63670798563348,9.744629023205515,337.5160508254102,194.54889112430337,8.0
57,57.0,1.0,0.0,2.0,1.0,1.0,2.0,0.7,1.0,1.0,0.8,60.0,-91.49890880827205,11.648419850608644,363.12005082541026,242.50198212252494,8.0
58,58.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.7,0.8,50.0,-92.60970645930203,9.744629023205515,299.650072607729,174.46488988611904,8.0
59,59.0,1.0,0.0,2.0,1.0,3.0,2.0,0.8,0.7,0.7,0.8,35.0,-160.7557958315499,5.859528792858796,263.0300580861832,71.72662306850097,8.0
60,60.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.8,0.8,1.0,30.0,-246.32581168203214,4.204950471585056,350.57687260772894,39.31230146522091,6.0
