n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,40.0,-242.36489390881923,5.122807641358256,393.47183773106,108.2661743933063,8.0
1,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,30.0,-273.89359997949816,0.48617512011684705,431.54654716382487,7.804374629174985,4.0
2,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,50.0,-160.88406454208666,11.963835853492505,401.2314830146775,166.60370024674722,2.0
3,3.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.9,0.9,0.7,40.0,-153.04915833990282,11.963835853492505,281.81548301467745,166.60370024674722,2.0
4,4.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.8,1.0,0.9,30.0,-192.28901444549177,1.7069018034739536,303.3841924474425,27.192879028300105,4.0
5,5.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.9,0.8,0.7,50.0,-170.16106137788688,7.1365684888814735,281.81548301467745,167.12483391969891,10.0
6,6.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,40.0,-151.96630265489156,11.963835853492505,320.84048301467743,172.90648106052936,4.0
7,7.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.7,0.7,1.0,40.0,-205.87725662770805,9.84818598880357,350.47838716382495,225.12842322083344,10.0
8,8.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.7,0.9,0.9,50.0,-139.12173384409107,11.963835853492505,331.44103244744247,166.60370024674722,2.0
9,9.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,60.0,-153.39030047762677,11.963835853492505,412.50919244744244,237.50050530448053,6.0
10,10.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.9,0.7,0.7,60.0,-100.2242094061443,11.963835853492505,374.43448301467754,208.35488358939602,6.0
11,11.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.9,1.0,0.8,40.0,-209.4905751659849,11.963835853492505,393.47183773106,181.17651110428952,2.0
12,12.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,50.0,-195.34834501329834,11.963835853492505,458.3435471638249,166.60370024674722,2.0
