n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,20.0,-688.497303687659,190.19516550018875,1299.480291021329,1591.8362083407142,2.0
1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.8,0.7,0.9,50.0,-27.8596019077668,190.19516550018875,764.8735806966372,4033.8947054748023,8.0
2,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,0.7,1.0,35.0,-620.542451004723,190.19516550018875,1168.7609641277006,4109.167290245384,8.0
3,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.9,1.0,25.0,-1100.8394644852438,56.00568523776178,1253.4518110213291,1063.112070181987,6.0
4,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,-438.2148762960322,190.19516550018875,1470.2658344681429,4109.167290245384,8.0
5,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.8,0.7,1.0,50.0,598.0491240068624,190.19516550018875,1024.6340041277006,1591.8362083407142,2.0
6,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.8,1.0,60.0,501.2889570198626,190.19516550018875,1106.4252275745146,2430.9465689756044,4.0
7,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.7,0.9,50.0,429.8962136526602,190.19516550018875,964.1390041277003,1516.5636235701313,2.0
8,8.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.7,0.7,0.9,60.0,766.2447355382186,190.19516550018875,704.3785806966371,3194.7843448399126,6.0
9,9.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.8,0.7,0.9,35.0,-614.478102542922,131.0908191817993,764.8735806966372,3390.471014478368,10.0
10,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.9,60.0,-75.24619608088312,190.19516550018875,1116.584603752819,4873.005066109692,10.0
11,11.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.8,0.7,1.0,40.0,-483.05223702491116,165.6091073884545,885.2415806966371,4403.291064456688,10.0
12,12.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,35.0,-791.1103416311697,190.19516550018875,1452.260434468143,4033.8947054748023,8.0
13,13.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,45.0,-883.7316573885201,163.03839425156465,1470.2658344681429,4263.470874722068,10.0
14,14.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,0.9,0.9,45.0,-108.8347841382107,190.19516550018875,1323.239251021329,3194.7843448399126,6.0
