n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,1.0,20.0,-259.3253803591395,5.063408075481224,352.7500653469561,36.06999114292717,2.0
1,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,0.9,50.0,-101.3497063271172,7.982795416418341,261.3700508254103,128.02580215648973,8.0
2,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,35.0,-197.38074146448005,5.859528792858796,316.5814508254103,78.89296231826168,8.0
3,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.9,0.9,0.8,1.0,25.0,-251.7107735755882,3.304230922637724,332.2668653469561,26.406296733313678,6.0
4,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,50.0,-209.40839207734254,7.982795416418341,392.44607260772887,134.62411283040592,8.0
5,5.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,1.0,50.0,-39.69667500333054,11.53015096905002,261.3700508254103,174.55640934505684,2.0
6,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.7,1.0,60.0,-51.75266000345359,11.53015096905002,293.0222580861832,204.95152774068796,4.0
7,7.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,0.9,50.0,-47.92322738387508,11.53015096905002,244.72005082541028,160.14028025011424,2.0
8,8.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,0.9,60.0,-1.291631036089914,11.60563302293498,244.72005082541028,224.7220789817271,6.0
9,9.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,0.9,35.0,-158.2635993714644,5.063408075481224,261.3700508254103,67.87508273757904,10.0
10,10.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,60.0,-169.99948514966178,9.194281154186596,399.7400653469561,187.17351262019804,10.0
11,11.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,1.0,40.0,-185.39807345745558,5.859528792858796,316.1300508254103,89.65827883562622,10.0
12,12.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,0.9,35.0,-253.77578617501194,6.6084749817854815,394.5550726077289,92.11383600482047,8.0
13,13.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,45.0,-240.91756659594012,6.6084749817854815,392.44607260772887,105.007373744685,10.0
14,14.0,1.0,0.0,1.0,1.0,2.0,2.0,0.9,0.9,0.9,0.9,45.0,-156.32380418280002,9.744629023205515,353.20146534695607,160.9746692718658,6.0
15,15.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.9,30.0,-230.52434562852577,3.304230922637724,329.6422726077289,34.06517728649659,10.0
16,16.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,50.0,-219.17267400159568,7.31875125910715,394.5550726077289,124.70318183400606,10.0
17,17.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,30.0,-294.265720839678,3.304230922637724,392.44607260772887,34.06517728649659,10.0
18,18.0,1.0,0.0,1.0,1.0,3.0,1.0,0.9,0.9,0.7,1.0,60.0,-67.95139343623885,9.744629023205515,281.34006534695607,194.54889112430337,8.0
19,19.0,1.0,0.0,1.0,1.0,1.0,2.0,0.8,0.8,0.9,0.9,40.0,-203.07844577715338,7.31875125910715,357.9350580861831,109.68142287164153,8.0
20,20.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.9,0.9,45.0,-110.92986057038223,11.365603480421356,296.3300580861832,154.74609585797214,2.0
21,21.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.8,0.9,20.0,-250.77509373050273,1.7609146983568025,316.1300508254103,12.088638242061387,8.0
