,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,1.0,1.0,40.0,-883.8234859464044,113.81991637288002,2619.6934204236272,2304.311091897589,4.0
1,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.7,0.9,40.0,-658.1855296026305,123.94374175228508,2343.698480484145,2513.422326629025,4.0
2,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,0.9,60.0,-307.6313232495384,130.58794234320223,2578.5873004236273,3510.0077990509953,6.0
3,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,1.0,0.9,60.0,-521.2371033853616,130.58794234320223,2619.6934204236272,3510.0077990509953,6.0
4,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,1.0,30.0,-1668.4282350679384,41.50495899604326,2818.734600605181,853.1346878562751,8.0
5,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,1.0,60.0,-599.850676339919,130.58794234320223,3153.0405405446627,3639.1268213130256,6.0
6,6.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,0.9,30.0,-2083.7537699055674,41.50495899604326,3518.0799405446633,828.8116260759891,8.0
7,7.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,0.9,30.0,-1496.7765825065646,41.50495899604326,2326.257420423627,981.2876435893429,10.0
8,8.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,0.9,50.0,-901.1834603334297,127.66028995263277,3110.630260544663,3388.8437192038896,6.0
9,9.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,1.0,40.0,-1335.7126036934528,80.09403807473525,2986.036980423627,1332.014446590384,4.0
10,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,40.0,-1703.996431214274,63.93268598001005,3478.514160605181,1167.9792324953817,6.0
11,11.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.7,0.9,40.0,-450.16821122309875,130.58794234320223,2343.698480484145,1944.7167332558456,2.0
12,12.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,1.0,1.0,30.0,-1859.1695276556359,41.50495899604326,3189.7618204236273,700.6586703429214,6.0
13,13.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,1.0,30.0,-1528.7323644563526,68.23891945444271,3110.630260544663,1040.161079404463,4.0
14,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.9,40.0,-1589.2879441651462,63.93268598001005,3227.768480484145,1167.9792324953817,6.0
15,15.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.9,0.9,40.0,-1248.8709840779015,52.38197966632623,2472.975420423627,1296.4470010963419,10.0
16,16.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,50.0,-802.9341575105003,130.58794234320223,3682.2390006051814,2073.835755517876,2.0
17,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,30.0,-2148.0717547288787,41.50495899604326,3630.8145405446635,828.8116260759891,8.0
18,18.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,0.9,30.0,-1963.0617751237855,41.50495899604326,3150.196040484145,981.2876435893429,10.0
19,19.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,1.0,30.0,-1754.139149583313,70.85427533892505,3478.514160605181,793.0567408958491,2.0
20,20.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,0.9,50.0,-1117.251779248294,68.90193226572049,2818.734600605181,1893.561086379984,10.0
21,21.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,1.0,30.0,-1231.9332061124746,41.50495899604326,2179.539420423627,853.1346878562751,8.0
22,22.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,1.0,1.0,60.0,-516.4798314422319,130.58794234320223,3705.542480484145,2073.835755517876,2.0
23,23.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.9,50.0,-1264.9756245008984,130.58794234320223,3705.542480484145,2727.3622661534205,4.0
24,24.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,0.9,50.0,-1044.482029752252,84.26963300998734,2948.011540544663,2185.7683284579057,8.0
25,25.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,1.0,1.0,50.0,-701.0008381408728,130.58794234320223,2619.6934204236272,2856.4812884154503,4.0
