n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,1.0,0.9,20.0,-467.643618883169,4.435883168136524,729.8316476724711,78.48722029354303,2.0
1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.9,0.7,50.0,-300.9967935955668,16.098655575530614,536.8546148563664,484.48717528777075,8.0
2,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,0.7,35.0,-414.24199472735256,4.435883168136524,645.7256948563663,136.71170986157688,8.0
3,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,1.0,0.9,25.0,-470.72678772200936,4.435883168136524,698.432607672471,117.30354667223224,6.0
4,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,50.0,-458.8500245777084,14.616883262425365,781.9663640805235,453.1712795827561,8.0
5,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,1.0,0.7,50.0,-170.71722682256936,23.078289705525684,536.8546148563664,438.0910069961145,2.0
6,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,1.0,0.8,60.0,-239.62064294997873,23.078289705525684,637.7709712644187,552.2048910064627,4.0
7,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.9,0.7,50.0,-181.33455983567663,23.078289705525684,502.8136148563663,405.69329469753785,2.0
8,8.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.9,0.7,60.0,-145.03574002142014,23.078289705525684,502.8136148563663,633.9210627182342,6.0
9,9.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.7,35.0,-354.37040413311166,4.435883168136524,536.8546148563664,150.21196734050164,10.0
10,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,60.0,-419.4188433497021,19.95577521581524,783.425647672471,720.0221203166622,10.0
11,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,1.0,0.7,40.0,-418.6920020153928,4.435883168136524,654.2526148563663,156.1198730509215,10.0
12,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,35.0,-501.2507002788735,4.435883168136524,794.4181640805233,130.80380415115704,8.0
13,13.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,45.0,-494.9990585622743,4.435883168136524,781.9663640805235,150.21196734050164,10.0
14,14.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.9,45.0,-373.41379024428755,23.078289705525684,721.304727672471,633.9210627182342,6.0
15,15.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,1.0,30.0,-472.2831052157656,4.435883168136524,713.3500040805234,150.21196734050164,10.0
16,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,50.0,-484.6371209994024,10.457588273626918,794.4181640805233,349.1238657952245,10.0
17,17.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,30.0,-527.7593453612027,4.435883168136524,781.9663640805235,150.21196734050164,10.0
18,18.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,1.0,0.9,60.0,-269.52795860063367,23.078289705525684,578.3926476724711,780.4326590271588,8.0
19,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,40.0,-434.83800770196007,12.063173059093632,718.8391312644187,352.1861672983064,8.0
20,20.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.8,45.0,-279.14519344098943,23.078289705525684,608.6851312644187,405.69329469753785,2.0
21,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.7,20.0,-462.39884857746324,4.435883168136524,654.2526148563663,130.80380415115704,8.0
22,22.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,25.0,-455.7281143710057,4.435883168136524,683.5152112644187,130.80380415115704,8.0
23,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,45.0,-486.00487208421674,8.126778234860332,783.425647672471,245.11740728197987,8.0
24,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,45.0,-463.36903579109253,10.457588273626918,756.6286476724712,303.1229190481048,8.0
25,25.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,0.8,50.0,-255.7622277536508,23.078289705525684,637.7709712644187,519.8071787078861,4.0
26,26.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,1.0,55.0,-346.7644388835222,23.078289705525684,759.0942440805235,552.2048910064627,4.0
