,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
0,0,-46372.1897,0.7,1.0,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,49.39215707759308,30.95086687704211,29.429145437475,796.9681930126068,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.407,15.1083,28795.288953278137,468.5479428499,1065.9457422,4
1,1,-46333.7221,0.8,0.7,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,51.596671169902194,31.82101938104839,30.526782715793935,795.4757310706357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.5335,14.6761,31584.590538944773,499.9152292161,901.9558208,4
2,2,-98123.1785,0.7,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,55.670007845227346,37.90527518540649,27.909112503523236,849.0542470872599,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0435,23.856,39734.145798275815,1002.2846483124,1169.3682236,6
3,3,-22982.4817,0.7,1.0,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,75.93897233350509,54.069955244681374,32.616895146889604,867.1996768396032,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16144227636593336,12.522,21.3641,55384.93428159265,1240.0490763997,1254.4171466,6
4,4,-403762.3974,1.0,0.8,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,83.86854478920239,64.82156575791916,32.904948734119984,926.4798112561367,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.1029,23.4278,50826.74872946338,1243.4618095823,1711.7597502,8
5,5,63794.5701,0.9,0.7,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,104.20517057084885,84.58306749923089,37.92543506457653,1073.1448947511244,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.310914948310258,12.0399,18.4063,87388.09023352645,1679.2750419424,1598.1782052,6
6,6,-377128.4439,0.9,1.0,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,85.55663446453143,65.33044323469952,33.794008734852206,925.0355302738958,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.085,22.7035,52576.009680893636,1246.4147872962,1520.9073231,8
7,7,-68089.8575,0.7,0.8,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,45.11881671468157,21.54394558348886,24.804005689802207,584.7876067224606,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.345,15.9917,18580.764724262193,320.2222127934,894.956636,10
8,8,-19741.8948,0.9,0.8,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,83.48236013827953,62.91984615445222,35.516466419357876,905.038843148444,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1595295372308914,10.8288,17.0447,62541.93341801533,1118.5143276911,1295.0468473,6
9,9,-225038.0923,0.7,0.9,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,79.92968794001115,59.58653687480708,30.44697614756474,752.5614990626275,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.5381,21.2629,56375.65787183132,1246.6437723143,1455.8784198,4
