n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
0,0,231279.2556,0.99,0.94,1,45,0.92,799.3728877665,2062.4876170403
1,1,395998.6528,0.96,1.0,0.9,50,0.91,812.747751723,1928.4381993264
2,2,-180250.6467,0.91,0.93,0.9,30,0.95,762.8041307887,1940.9504928526
3,3,82655.0785,0.97,0.97,1,40,0.99,804.0403425103,2084.3841307111
4,4,234513.8078,0.97,0.91,1,45,0.95,778.5456151474,2071.8718371849
5,5,-29872.1136,0.96,0.91,0.9,35,0.97,774.5056606786,1947.2066396157
6,6,-193186.0951,0.97,0.91,0.9,30,1.0,778.5456151474,1956.5908597603
7,7,-56149.8409,0.91,0.92,1,35,0.98,758.5550095616,2081.2560573295
8,8,235687.0886,0.93,0.96,1,45,0.96,783.6314034079,2074.9999105665
9,9,394922.1132,0.99,0.91,0.9,50,0.96,786.6255240851,1944.0785662341
10,10,-558035.6331,0.96,0.91,0.9,20,0.94,774.5056606786,1937.822419471
11,11,-225565.6079,0.96,0.96,1,30,0.94,795.7512668143,2068.7437638034
12,12,-189995.9392,0.98,0.92,0.9,30,0.94,786.8346908434,1937.822419471
13,13,394639.1613,0.97,0.95,0.9,50,0.96,795.542100056,1944.0785662341
14,14,253756.9206,0.99,0.95,0.9,45,0.94,803.6220089937,1937.822419471
15,15,83690.6223,0.98,0.94,1,40,0.99,795.3329332977,2084.3841307111
16,16,-189550.9642,0.95,0.98,0.9,30,0.93,800.2095547998,1934.6943460895
17,17,122976.0962,0.93,0.91,0.9,40,0.99,762.3857972721,1953.4627863787
18,18,401099.3101,0.96,0.94,0.9,50,0.91,787.25302436,1928.4381993264
19,19,668565.382,1.0,0.93,0.9,60,0.98,799.1637210082,1950.3347129972
20,20,-413094.9705,0.99,1.0,1,25,0.98,824.8676151294,2081.2560573295
21,21,-372816.8026,0.99,1.0,0.9,25,0.94,824.8676151294,1937.822419471
22,22,256616.1135,0.96,1.0,0.9,45,0.91,812.747751723,1928.4381993264
23,23,-359302.4695,0.91,0.97,0.9,25,0.97,779.8006156973,1947.2066396157
24,24,514781.5678,0.97,0.91,1,55,0.93,778.5456151474,2065.6156904218
25,25,685936.7328,0.92,0.92,0.9,60,0.93,762.5949640304,1934.6943460895
26,26,509215.3786,1.0,0.93,1,55,0.92,799.1637210082,2062.4876170403
27,27,93556.2368,0.93,0.99,1,40,0.92,796.3787670893,2062.4876170403
28,28,-196895.6937,1.0,0.98,0.9,30,0.92,820.409327144,1931.5662727079
29,29,-223368.2836,0.93,0.98,1,30,0.95,792.1296458622,2071.8718371849
30,30,379103.2112,0.92,0.95,1,50,0.94,775.3423277119,2068.7437638034
31,31,508543.8492,0.93,0.99,1,55,1.0,796.3787670893,2087.5122040926
32,32,362299.0181,0.98,0.99,1,50,0.99,816.5785394335,2084.3841307111
33,33,115196.3687,0.99,0.92,0.9,40,0.96,790.8746453122,1944.0785662341
34,34,-401050.1267,0.96,0.93,1,25,0.98,783.0039031329,2081.2560573295
35,35,-36989.0417,0.96,1.0,0.9,35,0.96,812.747751723,1944.0785662341
36,36,515933.8083,0.92,0.95,1,55,0.97,775.3423277119,2078.127983948
37,37,-187496.0134,0.92,0.97,0.9,30,0.97,783.8405701662,1947.2066396157
38,38,-45327.1921,1.0,1.0,0.9,35,0.98,828.9075695983,1950.3347129972
