n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.8,0.9,0.8,0.7,45.0,-552.8951550439374,34.775865699142884,612.5090922247281,876.9153799573902
1,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.1,0.8,0.9,0.8,55.0,214.33355093675215,107.28334889774962,520.3666037528191,610.6872476077505
2,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.9,1.0,0.7,1.0,55.0,-446.07063381854607,51.036069720851245,557.1319806966371,1428.9270945828498
3,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.2,1.0,0.7,0.7,55.0,432.97541122173493,107.28334889774962,479.9035806966371,883.0218848818206
4,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.5,0.7,0.7,0.9,55.0,51.83619585589363,107.28334889774962,474.266460696637,1887.9994691116308
5,5.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.1,1.0,0.9,0.7,55.0,541.3147960514603,107.28334889774962,637.393003752819,573.0925131262303
6,6.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.8,0.9,0.8,0.7,45.0,-98.16083574715093,107.28334889774962,500.1350922247281,2742.598115415361
7,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1,0.7,0.7,1.0,55.0,460.5754755203965,107.28334889774962,507.60858069663703,685.8767165707904
8,8.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.4,0.9,0.9,0.9,55.0,329.22210805653293,107.28334889774962,609.7711637528191,1578.070097356041
9,9.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.9,1.0,0.9,65.0,-37.52142035245898,107.28334889774962,649.90167528091,3437.6463278895812
10,10.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.7,0.8,0.9,1.0,65.0,-28.22120248720378,107.28334889774962,620.254603752819,2545.452947104331
11,11.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.7,0.7,0.7,0.8,45.0,-123.58370107772423,106.50849697369631,420.20658069663705,2446.87186842055
12,12.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.3,0.8,1.0,0.8,45.0,10.157112603595257,107.28334889774962,660.3851152809101,1230.545991118931
13,13.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.9,0.9,1.0,55.0,-207.38979452575157,103.70331598241185,540.2656037528191,3328.30112147124
14,14.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.8,1.0,0.9,0.7,55.0,-47.06303028201869,107.28334889774962,560.1646037528191,2742.598115415361
15,15.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.7,0.8,0.7,0.9,55.0,-175.5535511141451,104.08422941240883,440.10558069663705,2412.8673691093163
16,16.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.4,0.7,0.7,1.0,55.0,92.90468110045421,107.28334889774962,507.60858069663703,1615.664831837561
17,17.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.6,0.8,0.9,0.9,45.0,-288.58824765854496,105.70624730605883,620.254603752819,2156.14190313524
18,18.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.3,0.7,0.7,1.0,45.0,20.063367956785164,107.28334889774962,474.266460696637,1305.7354600819706
19,19.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.9,0.8,0.7,0.7,55.0,-202.65937286926862,101.11440725296656,440.10558069663705,2836.1451372454067
20,20.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.8,0.8,0.7,0.9,65.0,-15.698504240986862,107.28334889774962,501.88830069663703,2817.7875843784013
21,21.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,55.0,-190.04200807124218,107.28334889774962,652.6396037528191,3090.1222216524716
22,22.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.5,0.9,0.9,0.9,55.0,230.14479412624078,107.28334889774962,652.6396037528191,1887.9994691116308
23,23.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.7,0.8,1.0,0.9,55.0,-189.45726345338454,107.28334889774962,622.27983528091,2507.8582126228116
24,24.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.6,0.7,0.7,0.8,55.0,122.04982315005758,107.28334889774962,507.60858069663703,2160.3341063857015
25,25.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.9,0.7,0.7,0.9,55.0,-245.0126830735202,99.76824155002387,474.266460696637,2861.671027459584
26,26.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.7,1.0,0.9,0.7,65.0,202.80659633916824,107.28334889774962,637.393003752819,2432.6687436597713
27,27.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.5,0.9,0.7,0.9,55.0,-41.28730648654892,107.28334889774962,460.0045806966371,1887.9994691116308
28,28.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.9,0.8,0.7,55.0,-154.48405599649186,104.90280256184363,500.1350922247281,3266.45599921665
29,29.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.2,1.0,0.7,0.7,55.0,126.86676939977887,107.28334889774962,557.1319806966371,883.0218848818206
30,30.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.4,0.7,0.8,0.7,45.0,159.10974654026447,107.28334889774962,547.7390922247281,1502.880628393001
31,31.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.4,0.8,1.0,0.7,55.0,239.73488665049254,107.28334889774962,560.4971152809101,1502.880628393001
32,32.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.4,0.8,0.7,1.0,45.0,-69.86036265676509,107.28334889774962,501.88830069663703,1615.664831837561
