n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,0.7,1.0,0.7,55.0,-1348.9439835393507,70.85427533892505,3189.7618204236273,1822.8542985845722
1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.8,0.8,0.9,45.0,-1660.0330168452972,52.38197966632623,3227.768480484145,1251.6049283326943
2,2.0,1.0,1.0,2.0,0.7,3.0,2.0,0.9,0.9,0.9,1.0,55.0,-936.8242195306373,79.01200480610302,2801.2935405446633,1812.2218958784879
3,3.0,1.0,1.0,2.0,0.3,1.0,1.0,1.0,1.0,0.7,1.0,55.0,-955.7260881838504,130.58794234320223,3317.199600605181,2538.398990952331
4,4.0,1.0,1.0,2.0,0.8,2.0,1.0,1.0,1.0,0.8,1.0,65.0,-1141.8734965604547,77.9143539830844,3274.7893206051813,1941.0505128788186
5,5.0,1.0,1.0,2.0,0.8,2.0,2.0,0.9,0.9,0.8,1.0,45.0,-1468.6417666952977,63.20979733698361,3110.630260544663,1409.4329927834892
6,6.0,1.0,1.0,2.0,0.6,2.0,1.0,0.7,0.7,0.9,0.9,45.0,-1282.3867409484776,77.404691278589,2986.036980423627,1522.6988901319362
7,7.0,1.0,1.0,2.0,0.9,2.0,2.0,0.8,0.8,0.7,0.8,55.0,-807.3018918122917,80.09403807473525,2742.746360484145,2099.721414454467
8,8.0,1.0,1.0,2.0,0.3,2.0,1.0,0.8,0.8,0.7,0.9,65.0,-128.63151369911475,130.58794234320223,2742.746360484145,2409.279968690301
9,9.0,1.0,1.0,2.0,0.1,2.0,2.0,1.0,1.0,0.9,0.9,55.0,-413.0622207304488,130.58794234320223,3478.514160605181,1577.807456468948
10,10.0,1.0,1.0,2.0,0.2,1.0,2.0,0.8,0.8,0.8,1.0,55.0,-650.166226794184,130.58794234320223,3227.768480484145,2122.6627348416546
11,11.0,1.0,1.0,2.0,0.4,3.0,2.0,0.7,0.7,0.7,0.9,45.0,-425.81860654840165,130.58794234320223,2179.539420423627,2825.016224800978
12,12.0,1.0,1.0,2.0,0.3,1.0,1.0,0.7,0.7,1.0,0.9,65.0,-771.0879003603329,130.58794234320223,3541.383420423627,2409.279968690301
13,13.0,1.0,1.0,2.0,0.1,3.0,1.0,0.7,0.7,0.9,0.9,55.0,-316.66766133432805,130.58794234320223,2472.975420423627,1577.807456468948
14,14.0,1.0,1.0,2.0,1.0,3.0,2.0,0.7,0.7,0.7,0.9,55.0,-594.566839224245,77.404691278589,2179.539420423627,2203.5834455047147
15,15.0,1.0,1.0,2.0,0.5,1.0,2.0,0.9,0.9,1.0,0.9,45.0,-1461.7521678758555,108.74404602276711,3869.7015405446637,2397.9990646992974
16,16.0,1.0,1.0,2.0,0.1,2.0,2.0,0.7,0.7,0.8,1.0,65.0,144.0832742333344,130.58794234320223,2782.312140423627,1706.9264787309778
17,17.0,1.0,1.0,2.0,0.1,2.0,2.0,1.0,1.0,0.7,0.7,65.0,138.40840956759823,130.58794234320223,3071.064480605181,1319.5694119448876
18,18.0,1.0,1.0,2.0,0.8,2.0,1.0,0.9,0.9,0.8,0.9,45.0,-1463.4463116824966,63.93268598001005,3110.630260544663,1391.815241562431
19,19.0,1.0,1.0,2.0,0.7,2.0,2.0,0.8,0.8,0.8,0.9,65.0,-682.7009633248756,118.23761052642041,2946.471200484145,3461.5883707721155
20,20.0,1.0,1.0,2.0,0.5,3.0,1.0,0.7,0.7,1.0,0.7,55.0,-740.4480151279657,118.23761052642041,2619.6934204236272,2535.160222474264
21,21.0,1.0,1.0,2.0,0.6,2.0,2.0,0.8,0.8,1.0,0.7,45.0,-1217.5538633359333,100.82881979982099,3353.920880484145,2216.916028370083
22,22.0,1.0,1.0,2.0,0.3,3.0,1.0,0.8,0.8,0.9,1.0,45.0,-975.1794682830202,101.2290504822933,2637.1344804841456,1671.560680109977
23,23.0,1.0,1.0,2.0,0.4,1.0,1.0,0.9,0.9,0.9,0.8,55.0,-970.8822362175044,130.58794234320223,3630.8145405446635,2695.897202538948
24,24.0,1.0,1.0,2.0,0.4,1.0,1.0,1.0,1.0,0.9,0.8,55.0,-1280.7194722463196,130.58794234320223,3794.973600605181,2695.897202538948
25,25.0,1.0,1.0,2.0,0.1,3.0,2.0,0.7,0.7,1.0,0.9,55.0,-241.2650908436501,130.58794234320223,2619.6934204236272,1577.807456468948
26,26.0,1.0,1.0,2.0,0.5,2.0,2.0,0.7,0.7,0.7,0.9,55.0,-606.4993991099572,127.66028995263277,2578.5873004236273,3122.738720336279
27,27.0,1.0,1.0,2.0,0.3,2.0,1.0,0.9,0.9,0.8,0.8,45.0,-962.9265607348706,130.58794234320223,3110.630260544663,2280.160946428271
28,28.0,1.0,1.0,2.0,0.4,1.0,2.0,0.9,0.9,0.9,0.8,45.0,-1151.630042066317,130.58794234320223,3630.8145405446635,2695.897202538948
29,29.0,1.0,1.0,2.0,0.9,3.0,2.0,0.7,0.7,0.8,0.9,45.0,-939.0517968743868,66.12130743186812,2326.257420423627,1597.1415882576205
30,30.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,0.9,0.8,45.0,-1414.087341179355,84.26963300998734,3478.514160605181,1501.8891544452968
31,31.0,1.0,1.0,2.0,0.5,2.0,2.0,0.7,0.7,0.7,0.8,55.0,-363.5366582709758,130.58794234320223,2578.5873004236273,3111.6334586496246
32,32.0,1.0,1.0,2.0,0.7,2.0,2.0,0.7,0.7,1.0,1.0,55.0,-1198.6887468794525,79.01200480610302,3189.7618204236273,1812.2218958784879
33,33.0,1.0,1.0,2.0,0.5,1.0,1.0,0.7,0.7,0.9,0.9,55.0,-1212.6444636568015,101.2290504822933,3302.496420423627,2130.5031738938233
34,34.0,1.0,1.0,2.0,0.2,2.0,1.0,1.0,1.0,1.0,0.9,55.0,-797.3315482268378,130.58794234320223,3682.2390006051814,1993.5437125796243
35,35.0,1.0,1.0,2.0,0.7,2.0,2.0,0.7,0.7,0.7,0.8,55.0,-548.8388589215792,111.1019126142698,2578.5873004236273,3023.0113884202383
36,36.0,1.0,1.0,2.0,0.7,3.0,1.0,0.7,0.7,0.9,0.7,55.0,-655.2837030874464,97.69713597956785,2472.975420423627,2360.0461621054596
37,37.0,1.0,1.0,2.0,0.5,1.0,1.0,0.8,0.8,0.9,0.7,65.0,-859.2100260168102,130.58794234320223,3466.655480484145,2982.5144363875947
38,38.0,1.0,1.0,2.0,0.6,3.0,1.0,1.0,1.0,0.7,0.9,65.0,-346.38581851990006,130.58794234320223,2672.0166006051813,3656.4887370223314
39,39.0,1.0,1.0,2.0,0.7,2.0,2.0,1.0,1.0,0.8,1.0,55.0,-1195.4882023503505,79.01200480610302,3274.7893206051813,1812.2218958784879
40,40.0,1.0,1.0,2.0,0.2,3.0,2.0,0.7,0.7,0.7,1.0,55.0,50.90976151751617,130.58794234320223,2179.539420423627,2122.6627348416546
41,41.0,1.0,1.0,2.0,0.7,1.0,1.0,1.0,1.0,0.7,1.0,65.0,-1072.7370835515962,90.2139868922699,3317.199600605181,2276.9783885031716
42,42.0,1.0,1.0,2.0,0.4,1.0,2.0,0.8,0.8,1.0,0.9,55.0,-1096.6407114138758,130.58794234320223,3705.542480484145,2825.016224800978
43,43.0,1.0,1.0,2.0,0.8,1.0,1.0,0.9,0.9,0.9,0.8,55.0,-1609.0914460564666,73.94929829919676,3630.8145405446635,1680.4472557411502
