n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.7,0.7,55.0,-388.1776566416086,12.39118903747125,668.5978148563663,381.3742883683198
1,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.8,0.9,0.8,45.0,-437.59071021996704,4.435883168136524,692.0421312644187,144.49233681894896
2,2.0,1.0,1.0,2.0,2.0,0.7,3.0,2.0,0.9,1.0,0.9,55.0,-356.8547566960995,16.098655575530614,646.4746476724711,474.0773757073737
3,3.0,1.0,1.0,2.0,2.0,0.3,1.0,1.0,0.7,1.0,1.0,55.0,-379.4931175086308,23.078289705525684,740.8241640805232,506.6722263044884
4,4.0,1.0,1.0,2.0,2.0,0.8,2.0,1.0,0.8,1.0,1.0,65.0,-407.9352567362344,16.098655575530614,736.2221240805234,511.7504508984465
5,5.0,1.0,1.0,2.0,2.0,0.8,2.0,2.0,0.8,1.0,0.9,45.0,-441.25325538149673,4.435883168136524,698.432607672471,132.13600544433473
6,6.0,1.0,1.0,2.0,2.0,0.6,2.0,1.0,0.9,0.9,0.7,45.0,-369.6665020458366,13.682790068623277,645.7256948563663,341.7956384265921
7,7.0,1.0,1.0,2.0,2.0,0.9,2.0,2.0,0.7,0.8,0.8,55.0,-300.2437113780995,21.34758413565328,637.7709712644187,728.473902527371
8,8.0,1.0,1.0,2.0,2.0,0.3,2.0,1.0,0.7,0.9,0.8,65.0,-186.1123139531381,23.078289705525684,637.7709712644187,474.2745140059118
9,9.0,1.0,1.0,2.0,2.0,0.1,2.0,2.0,0.9,0.9,1.0,55.0,-246.58773740890655,23.078289705525684,759.0942440805235,352.4777784600971
10,10.0,1.0,1.0,2.0,2.0,0.2,1.0,2.0,0.8,1.0,0.8,55.0,-300.93281246037986,23.078289705525684,692.0421312644187,445.773858531581
11,11.0,1.0,1.0,2.0,2.0,0.4,3.0,2.0,0.7,0.9,0.7,45.0,-208.77007547823158,23.078289705525684,502.8136148563663,535.1728817788191
12,12.0,1.0,1.0,2.0,2.0,0.3,1.0,1.0,1.0,0.9,0.7,65.0,-298.3754246874783,23.078289705525684,707.8466148563664,474.2745140059118
13,13.0,1.0,1.0,2.0,2.0,0.1,3.0,1.0,0.9,0.9,0.7,55.0,-232.54687193339282,23.078289705525684,570.8956148563664,352.4777784600971
14,14.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.7,0.9,0.7,55.0,-243.44672174143625,17.228584059626538,502.8136148563663,616.3824197331477
15,15.0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.9,0.9,45.0,-397.34918048082545,23.078289705525684,783.425647672471,596.0712495517265
16,16.0,1.0,1.0,2.0,2.0,0.1,2.0,2.0,0.8,1.0,0.7,65.0,-131.43411438252667,23.078289705525684,622.8535748563663,384.8754907586737
17,17.0,1.0,1.0,2.0,2.0,0.1,2.0,2.0,0.7,0.7,1.0,65.0,-157.12715853239828,23.078289705525684,713.3500040805234,287.6823538629437
18,18.0,1.0,1.0,2.0,2.0,0.8,2.0,1.0,0.8,0.9,0.9,45.0,-423.6114204779909,10.930340600310041,698.432607672471,310.6735359868647
19,19.0,1.0,1.0,2.0,2.0,0.7,2.0,2.0,0.8,0.9,0.8,65.0,-304.7749321864449,23.078289705525684,660.6430912644187,717.8679850975411
20,20.0,1.0,1.0,2.0,2.0,0.5,3.0,1.0,1.0,0.7,0.7,55.0,-302.54701492104317,23.078289705525684,604.9366148563663,531.2758249545732
21,21.0,1.0,1.0,2.0,2.0,0.6,2.0,2.0,1.0,0.7,0.8,45.0,-348.24079061203656,23.078289705525684,706.3873312644187,592.1741927274807
22,22.0,1.0,1.0,2.0,2.0,0.3,3.0,1.0,0.9,1.0,0.8,45.0,-351.73847665378287,16.098655575530614,608.6851312644187,323.3850749430824
23,23.0,1.0,1.0,2.0,2.0,0.4,1.0,1.0,0.9,0.8,0.9,55.0,-328.39975445546963,23.078289705525684,756.6286476724712,502.7751694802426
24,24.0,1.0,1.0,2.0,2.0,0.4,1.0,1.0,0.9,0.8,1.0,55.0,-410.3934489807175,23.078289705525684,794.4181640805233,502.7751694802426
25,25.0,1.0,1.0,2.0,2.0,0.1,3.0,2.0,1.0,0.9,0.7,55.0,-220.95168286901173,23.078289705525684,604.9366148563663,352.4777784600971
26,26.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,0.7,0.9,0.7,55.0,-286.3912382956088,23.078289705525684,599.9814548563663,596.0712495517265
27,27.0,1.0,1.0,2.0,2.0,0.3,2.0,1.0,0.8,0.8,0.9,45.0,-342.2593076537071,23.078289705525684,698.432607672471,441.8768017073352
28,28.0,1.0,1.0,2.0,2.0,0.4,1.0,2.0,0.9,0.8,0.9,45.0,-354.1438719802146,23.078289705525684,756.6286476724712,502.7751694802426
29,29.0,1.0,1.0,2.0,2.0,0.9,3.0,2.0,0.8,0.9,0.7,45.0,-307.84275156715677,12.063173059093632,536.8546148563664,373.97619578569
30,30.0,1.0,1.0,2.0,2.0,0.5,2.0,1.0,0.9,0.8,1.0,45.0,-413.77583847564046,19.359945033123836,759.0942440805235,449.13481719826194
31,31.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,0.7,0.8,0.7,55.0,-208.88048861483884,23.078289705525684,599.9814548563663,563.6735372531499
32,32.0,1.0,1.0,2.0,2.0,0.7,2.0,2.0,1.0,1.0,0.7,55.0,-371.3765593465721,16.098655575530614,668.5978148563663,474.0773757073737
33,33.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,0.9,0.9,0.7,55.0,-369.2300471991621,19.95577521581524,681.0496148563664,493.92913431251355
34,34.0,1.0,1.0,2.0,2.0,0.2,2.0,1.0,1.0,0.9,1.0,55.0,-318.8641125733615,23.078289705525684,781.9663640805235,413.3761462330045
